,power(kW),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,month,weekday,day,tire_type_All-year tires,tire_type_Summer tires,tire_type_Winter tires,driving_style_Fast,driving_style_Moderate,driving_style_Normal,trip_distance(km)
48,85.0,3.45,1.0,0.0,1.0,12.45,1.0,0.0,6.0,5.0,24.0,0,1,0,0,0,1,30.0
49,35.0,14.2,1.0,1.0,1.0,12.71,0.0,0.0,4.0,3.0,26.0,0,1,0,0,0,1,102.0
50,88.0,18.2,0.0,1.0,1.0,12.86,1.0,0.0,7.0,6.0,7.0,0,1,0,0,1,0,123.0
51,111.0,8.4,1.0,1.0,0.0,15.434999999999999,0.0,0.0,2.0,1.0,16.0,0,0,1,0,1,0,51.8
52,315.0,35.45,1.0,1.0,0.0,32.855,0.0,0.0,5.0,6.0,27.0,0,1,0,0,1,0,76.0
53,100.0,26.5,0.0,1.0,0.0,35.044999999999995,1.0,0.0,8.0,0.0,10.0,0,0,1,0,0,1,113.0
54,35.0,4.8,1.0,1.0,1.0,17.58,0.0,0.0,9.0,2.0,19.0,0,1,0,0,0,1,41.0
55,111.0,9.2,1.0,0.0,0.0,14.664999999999997,0.0,0.0,4.0,1.0,10.0,0,0,1,0,0,1,52.2
56,35.0,13.1,1.0,1.0,1.0,15.359999999999996,0.0,0.0,5.0,3.0,7.0,0,1,0,0,0,1,100.0
57,49.0,6.5,1.0,0.0,1.0,13.249999999999996,0.0,0.0,11.0,5.0,12.0,0,0,1,0,0,1,78.4
58,85.0,13.89,1.0,1.0,1.0,13.249999999999996,1.0,0.0,7.0,1.0,5.0,0,1,0,0,0,1,106.0
59,60.0,19.5,0.0,1.0,1.0,13.709999999999997,1.0,0.0,9.0,0.0,17.0,0,1,0,0,0,1,48.0
60,111.0,5.3,1.0,1.0,0.0,16.299999999999997,0.0,1.0,9.0,3.0,15.0,0,1,0,0,0,1,29.0
61,60.0,22.74,0.0,1.0,1.0,18.235,1.0,0.0,5.0,2.0,2.0,0,1,0,0,0,1,108.0
62,88.0,1.53,0.0,0.0,0.0,17.064999999999998,0.0,0.0,7.0,5.0,31.0,1,0,0,0,0,1,9.6
63,111.0,5.7,1.0,1.0,1.0,14.304999999999996,0.0,0.0,6.0,1.0,7.0,0,1,0,0,0,1,45.0
64,88.0,10.8,0.0,0.0,0.0,12.694999999999997,0.0,0.0,7.0,0.0,15.0,1,0,0,0,0,1,84.9
65,100.0,23.0,0.0,1.0,0.0,12.334999999999997,1.0,0.0,7.0,1.0,12.0,1,0,0,0,0,1,148.0
66,88.0,7.9,0.0,1.0,1.0,12.674999999999997,1.0,1.0,11.0,3.0,5.0,0,1,0,0,1,0,35.0
67,100.0,20.6,0.0,1.0,0.0,15.554999999999998,1.0,0.0,4.0,1.0,28.0,0,0,1,0,0,1,89.0
68,111.0,6.5,1.0,0.0,1.0,10.564999999999998,1.0,0.0,8.0,4.0,16.0,0,1,0,0,0,1,190.0
69,111.0,11.2,1.0,1.0,1.0,10.739999999999995,0.0,1.0,12.0,0.0,9.0,0,0,1,0,0,1,62.0
70,60.0,20.0,1.0,0.0,1.0,16.689999999999994,1.0,0.0,6.0,1.0,22.0,0,1,0,0,0,1,51.0
71,111.0,9.3,1.0,1.0,0.0,14.599999999999998,0.0,0.0,8.0,0.0,5.0,0,1,0,0,0,1,67.0
72,132.0,10.0,1.0,0.0,1.0,14.409999999999997,0.0,0.0,7.0,2.0,19.0,0,0,0,0,1,0,107.0
73,88.0,12.7,0.0,0.0,0.0,14.994999999999997,0.0,0.0,10.0,0.0,29.0,1,0,0,0,0,1,84.4
74,49.0,1.2,1.0,1.0,1.0,13.159999999999997,1.0,0.0,8.0,3.0,2.0,0,1,0,0,0,1,80.2
75,88.0,3.2,1.0,0.0,0.0,10.604999999999997,0.0,0.0,9.0,4.0,4.0,0,1,0,0,1,0,32.2
76,150.0,28.38,1.0,0.0,0.0,17.014999999999993,0.0,1.0,2.0,0.0,21.0,0,0,1,1,0,0,99.0
77,49.0,6.93,1.0,0.0,1.0,18.659999999999997,0.0,0.0,1.0,4.0,16.0,0,0,1,0,0,1,52.4
78,80.0,21.0,0.0,1.0,0.0,12.764999999999995,0.0,1.0,5.0,2.0,27.0,0,1,0,0,0,1,173.0
79,85.0,12.61,0.0,1.0,0.0,14.549999999999995,0.0,1.0,1.0,4.0,26.0,0,0,1,1,0,0,87.0
80,88.0,7.57,0.0,1.0,1.0,15.399999999999995,1.0,1.0,1.0,3.0,16.0,0,0,1,0,1,0,59.0
81,85.0,1.5,1.0,0.0,1.0,10.649999999999995,0.0,0.0,6.0,1.0,6.0,0,1,0,0,1,0,21.0
82,85.0,13.87,1.0,1.0,1.0,10.799999999999995,0.0,0.0,5.0,6.0,7.0,0,0,1,0,0,1,97.0
83,132.0,10.16,0.0,0.0,1.0,17.044999999999995,0.0,0.0,11.0,0.0,2.0,0,1,0,0,1,0,10.0
84,49.0,3.5,1.0,0.0,1.0,15.979999999999993,0.0,0.0,4.0,1.0,3.0,0,0,1,0,0,1,34.5
85,35.0,7.8,1.0,1.0,1.0,15.369999999999994,0.0,1.0,3.0,5.0,5.0,0,0,1,1,0,0,42.0
86,100.0,5.0,0.0,1.0,0.0,17.71999999999999,1.0,0.0,10.0,4.0,1.0,1,0,0,0,0,1,58.0
87,88.0,15.44,1.0,1.0,1.0,14.664999999999994,0.0,0.0,10.0,2.0,9.0,0,1,0,0,1,0,123.9
88,85.0,1.01,1.0,0.0,1.0,10.829999999999993,0.0,0.0,4.0,6.0,17.0,0,1,0,0,0,1,11.0
89,100.0,20.0,0.0,1.0,0.0,13.914999999999992,1.0,0.0,2.0,6.0,9.0,0,0,1,0,0,1,90.0
90,60.0,17.0,1.0,0.0,0.0,18.554999999999993,1.0,0.0,9.0,2.0,1.0,0,1,0,0,0,1,92.0
91,35.0,7.7,1.0,1.0,1.0,18.194999999999993,0.0,1.0,1.0,1.0,3.0,0,0,1,0,0,1,43.0
92,100.0,13.0,0.0,1.0,0.0,16.834999999999994,1.0,0.0,6.0,6.0,14.0,0,0,1,0,0,1,73.0
93,111.0,1.8,1.0,0.0,0.0,17.46999999999999,0.0,0.0,5.0,5.0,19.0,0,0,1,0,0,1,11.0
94,100.0,18.7,0.0,1.0,0.0,16.709999999999994,1.0,0.0,9.0,5.0,28.0,0,1,0,0,0,1,88.0
95,111.0,8.3,1.0,0.0,1.0,13.409999999999995,0.0,0.0,9.0,1.0,6.0,0,1,0,0,0,1,66.0
96,132.0,10.26,1.0,1.0,1.0,17.269999999999996,0.0,1.0,3.0,1.0,10.0,1,0,0,0,0,1,51.0
97,88.0,9.52,0.0,1.0,1.0,18.029999999999998,1.0,1.0,11.0,4.0,1.0,0,0,1,0,1,0,152.0
98,80.0,19.18,1.0,0.0,1.0,23.584999999999997,0.0,1.0,11.0,0.0,22.0,0,0,1,0,1,0,58.0
99,111.0,10.0,1.0,0.0,1.0,31.684999999999995,0.0,1.0,1.0,6.0,30.0,0,0,1,0,0,1,33.0
100,49.0,3.99,1.0,1.0,1.0,20.694999999999997,0.0,0.0,9.0,6.0,20.0,0,1,0,0,0,1,96.0
101,35.0,4.6,1.0,1.0,1.0,11.019999999999996,0.0,0.0,6.0,0.0,15.0,0,1,0,0,0,1,42.0
102,100.0,6.0,0.0,1.0,0.0,13.434999999999995,1.0,0.0,4.0,3.0,29.0,1,0,0,0,0,1,36.0
103,60.0,17.0,1.0,1.0,1.0,17.744999999999997,1.0,0.0,12.0,4.0,1.0,0,0,1,0,0,1,73.0
104,85.0,9.72,1.0,0.0,1.0,20.134999999999994,0.0,1.0,1.0,0.0,15.0,0,0,1,0,0,1,47.0
105,85.0,16.08,0.0,1.0,1.0,16.549999999999994,0.0,0.0,7.0,2.0,10.0,0,1,0,0,0,1,122.0
106,88.0,12.9,0.0,0.0,0.0,15.959999999999996,0.0,0.0,11.0,3.0,29.0,1,0,0,0,0,1,66.1
107,111.0,2.8,1.0,0.0,0.0,16.889999999999993,0.0,0.0,7.0,1.0,16.0,0,1,0,0,1,0,23.8
108,111.0,7.5,1.0,0.0,0.0,15.104999999999997,0.0,0.0,8.0,3.0,31.0,0,1,0,0,0,1,47.8
109,100.0,7.0,0.0,1.0,0.0,15.704999999999997,1.0,0.0,11.0,3.0,11.0,1,0,0,0,0,1,56.0
110,35.0,4.9,1.0,1.0,1.0,13.564999999999998,0.0,0.0,8.0,1.0,12.0,0,1,0,0,0,1,42.0
111,111.0,2.2,1.0,0.0,0.0,15.439999999999998,0.0,0.0,1.0,1.0,9.0,0,0,1,0,0,1,11.6
112,111.0,5.3,1.0,0.0,0.0,15.159999999999997,0.0,0.0,8.0,1.0,21.0,0,1,0,0,0,1,47.7
113,111.0,6.9,1.0,1.0,0.0,15.089999999999996,0.0,0.0,3.0,2.0,30.0,0,0,1,0,1,0,47.8
114,88.0,15.99,1.0,1.0,1.0,15.449999999999996,0.0,0.0,6.0,4.0,7.0,0,1,0,0,1,0,135.2
115,35.0,5.7,1.0,1.0,1.0,12.544999999999996,0.0,0.0,4.0,4.0,22.0,0,0,1,0,1,0,43.0
116,315.0,10.1,1.0,1.0,0.0,18.374999999999996,0.0,0.0,4.0,0.0,1.0,0,0,1,0,1,0,53.0
117,60.0,39.0,1.0,0.0,0.0,23.334999999999994,1.0,0.0,2.0,5.0,19.0,0,0,1,0,0,1,154.0
118,85.0,3.15,1.0,0.0,1.0,17.439999999999994,1.0,0.0,9.0,2.0,7.0,0,1,0,0,0,1,27.0
119,85.0,2.4,1.0,0.0,1.0,10.299999999999994,0.0,0.0,11.0,4.0,16.0,0,0,1,0,1,0,27.0
120,35.0,8.0,1.0,1.0,1.0,13.749999999999995,0.0,1.0,1.0,1.0,8.0,0,0,1,0,0,1,43.0
121,80.0,1.9,0.0,0.0,0.0,15.049999999999994,0.0,0.0,10.0,5.0,19.0,1,0,0,0,0,1,16.8
122,35.0,6.9,1.0,1.0,1.0,13.964999999999993,0.0,1.0,3.0,2.0,24.0,0,0,1,0,0,1,42.0
123,88.0,7.95,0.0,1.0,1.0,13.864999999999993,1.0,0.0,8.0,0.0,23.0,0,1,0,0,1,0,70.0
124,35.0,4.9,1.0,1.0,1.0,11.624999999999993,0.0,0.0,7.0,0.0,1.0,0,1,0,0,0,1,41.0
125,111.0,5.1,1.0,0.0,1.0,13.944999999999993,0.0,0.0,5.0,3.0,27.0,0,1,0,0,0,1,32.0
126,111.0,7.9,1.0,1.0,0.0,17.154999999999994,0.0,1.0,12.0,1.0,6.0,0,0,1,0,0,1,43.0
127,35.0,5.9,1.0,1.0,1.0,15.739999999999993,0.0,0.0,4.0,2.0,3.0,0,0,1,0,0,1,45.0
128,35.0,10.5,1.0,1.0,1.0,13.19999999999999,0.0,0.0,5.0,3.0,12.0,0,0,1,0,0,1,79.0
129,85.0,5.98,1.0,0.0,1.0,13.14499999999999,0.0,0.0,10.0,3.0,18.0,0,0,1,0,0,1,46.0
130,88.0,13.0,0.0,1.0,1.0,11.999999999999991,1.0,0.0,9.0,1.0,28.0,0,1,0,0,1,0,116.0
131,85.0,1.78,1.0,1.0,1.0,9.54999999999999,0.0,0.0,7.0,1.0,12.0,0,1,0,0,1,0,22.0
