manufacturer,power(kW),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,trip_distance(km),month,weekday,day
Volkswagen,85,17.93,3,0,1,0,2,13.6,0,1,66.0,-3.2,87.0,4,1,17
Volkswagen,85,1.2,3,1,1,1,2,6.3,0,0,49.0,-10.5,19.0,6,3,29
Volkswagen,85,3.3,3,1,1,1,2,16.5,0,0,45.0,-0.3,20.0,10,2,18
Volkswagen,85,6.07,3,1,0,0,2,11.0,0,0,18.0,-5.8,6.0,5,1,8
Volkswagen,85,5.18,2,0,1,0,3,14.4,0,0,63.0,-2.4,36.0,12,3,31
Volkswagen,85,1.5,3,1,1,1,2,7.9,0,0,50.0,-8.9,19.0,9,3,7
Volkswagen,85,6.8,2,0,1,0,2,17.5,0,1,90.0,0.7,46.0,11,3,9
Volkswagen,85,1.4,3,1,1,1,2,7.5,0,0,42.0,-9.3,19.0,10,3,19
Volkswagen,85,0.01,3,1,1,0,2,13.6,0,1,59.0,-3.2,118.0,10,5,27
Volkswagen,85,2.06,2,1,1,1,2,10.3,0,0,38.0,-6.5,20.0,2,2,22
Volkswagen,85,2.97,3,1,1,0,2,10.3,0,0,44.0,-6.5,46.0,4,5,21
Volkswagen,85,3.3,3,1,1,1,2,16.7,0,0,48.0,-0.1,20.0,8,1,29
Volkswagen,85,1.12,2,1,0,0,2,16.0,0,0,29.0,-0.8,7.0,12,5,10
Volkswagen,85,1.4,3,1,1,1,2,7.6,0,0,53.0,-9.2,19.0,8,2,2
Volkswagen,85,2.9,3,1,1,1,2,15.0,0,0,49.0,-1.8,19.0,8,4,3
Volkswagen,85,3.4,3,1,1,1,2,17.2,0,0,41.0,0.4,20.0,9,3,7
Volkswagen,85,13.21,2,0,0,1,1,18.4,0,1,51.0,1.6,82.0,3,6,4
Volkswagen,85,0.85,2,1,0,0,3,28.3,1,0,28.0,11.5,3.0,2,5,21
Volkswagen,85,3.82,3,0,1,0,2,11.8,0,0,61.0,-5.0,108.0,9,4,14
Volkswagen,85,0.25,2,1,0,0,3,12.5,0,0,23.0,-4.3,2.0,12,1,22
Volkswagen,85,4.97,3,0,1,0,3,14.8,0,1,86.0,-2.0,69.0,10,6,7
Volkswagen,85,0.88,2,1,0,0,2,11.0,0,0,27.0,-5.8,8.0,4,4,10
Volkswagen,85,3.08,2,1,1,1,3,14.0,0,1,37.0,-2.8,22.0,11,1,24
Volkswagen,85,3.2,3,1,1,1,2,16.7,0,0,47.0,-0.1,19.0,6,2,13
Volkswagen,85,1.5,3,1,0,1,2,6.7,0,0,27.0,-10.1,22.0,5,2,9
Volkswagen,85,3.8,3,1,1,1,2,18.8,0,0,43.0,2.0,20.0,9,2,6
Volkswagen,85,3.63,3,1,0,1,3,11.0,0,0,42.0,-5.8,33.0,5,0,23
Volkswagen,85,0.9,2,1,0,0,2,13.2,0,0,22.0,-3.6,7.0,3,6,19
Volkswagen,85,1.84,2,1,1,1,3,9.7,0,0,37.0,-7.1,19.0,12,3,3
Volkswagen,85,0.7,2,1,0,0,2,12.0,0,0,22.0,-4.8,6.0,10,6,28
Volkswagen,85,0.39,3,1,0,0,3,13.0,0,1,30.0,-3.8,3.0,10,6,11
Volkswagen,85,7.23,2,1,0,1,3,16.6,0,1,46.0,-0.2,83.0,11,5,24
Volkswagen,85,2.06,2,1,1,1,3,10.3,0,0,39.0,-6.5,20.0,12,4,16
Volkswagen,85,3.0,2,1,0,0,3,21.4,0,0,21.0,4.6,14.0,2,5,21
Volkswagen,85,1.9,2,1,1,1,2,9.5,0,0,44.0,-7.3,20.0,1,3,25
Volkswagen,85,8.95,2,0,1,0,2,14.0,0,1,72.0,-2.8,36.0,12,0,4
