,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),user_id,month,weekday,day
17924,35.0,7.6,93642.0,3.0,1,1,1,1.0,17.27,0,1,4.77,44.0,Tesla_Model_S_2015,5,1,9
14842,49.0,5.84,4715.0,3.0,0,0,1,1.0,12.16,0,0,-0.3399999999999998,15.2,Tesla_Model_S_2015,10,2,9
23138,278.0,28.0,42117.0,2.0,1,0,1,1.0,24.8,0,0,8.7,103.0,Tesla_Model_S_2015,10,3,26
18185,35.0,5.0,118559.0,3.0,1,1,1,1.0,11.63,0,0,-0.8699999999999992,43.0,Tesla_Model_S_2015,7,1,3
19427,35.0,9.2,152750.0,2.0,1,1,1,1.0,17.04,0,1,4.539999999999999,54.0,Tesla_Model_S_2015,1,2,8
13923,49.0,10.95,44210.0,3.0,1,0,1,1.0,11.88,0,0,-0.6199999999999992,92.2,Tesla_Model_S_2015,7,3,29
9317,49.0,5.24,127293.0,2.0,0,0,1,1.0,12.54,0,0,-0.9600000000000009,12.2,Tesla_Model_S_2015,3,5,11
16946,88.0,20.7,41920.0,3.0,1,1,1,2.0,14.45,0,0,2.305746737554374,143.2,Tesla_Model_S_2015,12,3,19
22803,278.0,16.0,38931.0,3.0,1,1,1,1.0,21.48,0,0,5.379999999999999,72.0,Tesla_Model_S_2015,8,3,31
21887,132.0,23.0,85855.0,1.0,0,1,1,1.0,19.2,0,1,2.599999999999998,122.0,Tesla_Model_S_2015,1,4,1
6607,85.0,4.13,87531.0,2.0,0,1,1,2.0,14.3,0,0,1.6000000000000014,33.0,Tesla_Model_S_2015,4,5,6
7766,80.0,19.18,68108.0,2.0,1,0,1,2.0,33.07,0,1,18.07,58.0,Tesla_Model_S_2015,11,0,22
9932,49.0,9.29,97412.0,3.0,0,1,1,2.0,11.35,0,0,-2.1500000000000004,114.6,Tesla_Model_S_2015,10,0,26
7025,85.0,3.91,38469.0,2.0,0,1,0,2.0,18.2,0,1,5.5,43.0,Tesla_Model_S_2015,1,4,19
10789,49.0,5.54,180523.0,3.0,0,1,1,1.0,11.73,0,0,-1.7699999999999996,67.6,Tesla_Model_S_2015,4,6,7
22649,278.0,12.0,73672.0,3.0,1,1,1,1.0,20.88,0,0,4.779999999999998,103.0,Tesla_Model_S_2015,10,0,15
18522,35.0,6.4,35366.0,2.0,1,1,1,1.0,15.24,0,1,2.74,42.0,Tesla_Model_S_2015,1,0,12
10920,49.0,13.11,81437.0,2.0,1,0,1,1.0,12.53,0,0,-0.9700000000000006,104.6,Tesla_Model_S_2015,3,5,14
22906,278.0,34.0,26588.0,2.0,0,1,1,1.0,26.77,0,0,10.669999999999998,127.0,Tesla_Model_S_2015,3,4,10
6187,85.0,17.11,29222.0,2.0,0,0,1,2.0,15.4,0,1,2.700000000000001,43.0,Tesla_Model_S_2015,11,2,8
18533,35.0,6.4,25330.0,3.0,1,1,1,1.0,14.55,1,0,2.0500000000000007,44.0,Tesla_Model_S_2015,7,2,23
10234,49.0,12.98,114701.0,3.0,0,1,0,3.0,12.28,0,0,-1.2200000000000006,84.7,Tesla_Model_S_2015,8,3,18
19532,35.0,4.1,113748.0,3.0,1,0,0,1.0,14.14,0,0,1.6400000000000006,29.0,Tesla_Model_S_2015,4,2,25
18605,35.0,16.2,75401.0,2.0,1,0,1,3.0,14.86,1,0,2.3599999999999994,109.0,Tesla_Model_S_2015,7,6,24
21026,132.0,5.5,103873.0,1.0,1,0,0,1.0,18.52,0,1,1.9199999999999984,3.0,Tesla_Model_S_2015,2,5,12
18361,35.0,7.5,37470.0,2.0,0,0,1,1.0,21.43,0,1,8.93,35.0,Tesla_Model_S_2015,2,0,9
12876,85.0,1.78,13332.0,3.0,1,0,1,1.0,7.4,0,0,-5.299999999999999,24.0,Tesla_Model_S_2015,9,4,11
16902,88.0,14.54,20569.0,3.0,1,1,1,2.0,15.85,0,0,2.305746737554374,91.7,Tesla_Model_S_2015,11,3,22
19069,35.0,10.0,34806.0,2.0,1,0,1,1.0,22.73,0,1,10.23,44.0,Tesla_Model_S_2015,12,1,30
18529,35.0,5.8,145247.0,3.0,1,1,1,3.0,13.49,0,0,0.9900000000000002,43.0,Tesla_Model_S_2015,9,2,4
10379,49.0,4.87,180213.0,3.0,1,0,0,1.0,13.44,0,0,-0.0600000000000005,5.5,Tesla_Model_S_2015,4,4,5
6726,85.0,19.93,44995.0,2.0,0,1,0,3.0,16.7,0,1,4.0,90.0,Tesla_Model_S_2015,3,1,6
10562,49.0,5.25,90954.0,3.0,1,0,1,1.0,11.01,0,0,-2.49,47.7,Tesla_Model_S_2015,7,4,31
1641,278.0,26.0,61981.0,3.0,1,1,1,1.0,20.14,0,0,4.039999999999999,124.0,Tesla_Model_S_2015,6,1,26
22876,278.0,49.0,111632.0,2.0,0,1,0,1.0,24.48,0,0,8.379999999999999,209.0,Tesla_Model_S_2015,2,2,5
22509,278.0,32.0,29714.0,3.0,1,1,1,1.0,24.68,0,0,8.579999999999998,107.0,Tesla_Model_S_2015,4,3,13
23274,278.0,20.0,60485.0,3.0,0,1,1,1.0,21.68,0,0,5.579999999999998,176.0,Tesla_Model_S_2015,6,5,16
10966,49.0,6.12,114198.0,3.0,1,1,1,1.0,12.29,0,0,-1.2100000000000009,49.8,Tesla_Model_S_2015,8,4,12
7730,80.0,1.6,8100.0,2.0,0,0,1,1.0,15.841387951461192,0,1,2.305746737554374,107.0,Tesla_Model_S_2015,1,6,27
8959,49.0,6.22,144712.0,3.0,1,0,1,1.0,13.07,0,0,-0.4299999999999997,47.6,Tesla_Model_S_2015,10,2,4
1830,278.0,29.0,59427.0,3.0,1,1,1,1.0,20.25,0,0,4.149999999999999,141.0,Tesla_Model_S_2015,6,2,6
10932,49.0,9.1,181341.0,3.0,1,0,1,1.0,13.6,0,0,0.0999999999999996,66.9,Tesla_Model_S_2015,4,2,17
10466,49.0,5.75,103709.0,2.0,1,0,1,1.0,14.01,0,0,0.5099999999999998,12.8,Tesla_Model_S_2015,2,5,13
19974,35.0,7.1,39575.0,2.0,1,1,1,1.0,16.51,0,1,4.010000000000002,43.0,Tesla_Model_S_2015,3,3,5
9565,49.0,5.02,186392.0,3.0,0,1,0,1.0,12.56,0,0,-0.9399999999999996,48.2,Tesla_Model_S_2015,6,0,24
21003,132.0,1.4,95516.0,3.0,0,1,0,3.0,15.54,0,0,-1.0600000000000025,76.0,Tesla_Model_S_2015,8,4,6
7039,85.0,6.51,55209.0,3.0,0,1,0,1.0,12.1,0,0,-0.5999999999999996,38.0,Tesla_Model_S_2015,5,5,19
6321,85.0,17.46,98776.0,3.0,0,1,1,2.0,12.9,0,0,0.200000000000001,128.0,Tesla_Model_S_2015,6,6,23
16775,88.0,16.62,35350.0,3.0,1,1,1,2.0,11.87,0,0,2.305746737554374,140.0,Tesla_Model_S_2015,9,2,4
20896,132.0,17.4,102445.0,1.0,1,1,1,1.0,21.6,0,1,5.0,22.0,Tesla_Model_S_2015,1,6,9
8062,80.0,3.0,75600.0,3.0,1,0,1,2.0,15.14,0,0,0.1400000000000005,38.0,Tesla_Model_S_2015,5,3,19
19256,35.0,4.6,75443.0,2.0,1,1,1,1.0,10.95,0,0,-1.5500000000000007,42.0,Tesla_Model_S_2015,7,0,25
17213,88.0,1.1,17669.0,3.0,1,0,0,2.0,11.39,0,0,2.305746737554374,9.7,Tesla_Model_S_2015,10,2,10
6882,85.0,8.51,92587.0,3.0,0,1,1,1.0,15.2,0,1,2.5,84.0,Tesla_Model_S_2015,5,1,14
8203,49.0,12.85,78401.0,2.0,1,1,1,1.0,13.15,0,0,-0.3499999999999996,97.7,Tesla_Model_S_2015,1,3,15
18018,35.0,6.2,96278.0,3.0,0,0,1,1.0,13.19,0,0,0.6899999999999995,47.0,Tesla_Model_S_2015,6,0,26
22969,278.0,30.0,37368.0,3.0,1,0,1,1.0,23.37,0,0,7.27,156.0,Tesla_Model_S_2015,8,3,10
6290,85.0,1.6,35094.0,2.0,0,0,1,2.0,18.0,0,1,5.300000000000001,8.0,Tesla_Model_S_2015,12,6,24
22266,278.0,31.0,46679.0,2.0,1,1,1,1.0,24.74,0,0,8.639999999999997,121.0,Tesla_Model_S_2015,12,3,28
10976,49.0,6.63,129858.0,3.0,1,0,1,1.0,13.03,0,0,-0.4700000000000006,50.9,Tesla_Model_S_2015,4,0,10
20653,35.0,5.9,38193.0,2.0,1,0,1,1.0,17.35,0,1,4.850000000000001,34.0,Tesla_Model_S_2015,2,2,18
10181,49.0,11.88,86240.0,3.0,1,1,1,1.0,11.46,0,0,-2.039999999999999,103.7,Tesla_Model_S_2015,5,3,28
7585,80.0,9.84,38089.0,3.0,0,1,0,1.0,19.76,0,1,4.760000000000002,68.0,Tesla_Model_S_2015,5,3,14
9957,49.0,3.0,183631.0,3.0,1,1,1,1.0,12.78,0,0,-0.7200000000000006,61.3,Tesla_Model_S_2015,5,5,18
14943,49.0,15.17,56450.0,2.0,1,1,1,1.0,15.57,0,0,3.0700000000000003,97.4,Tesla_Model_S_2015,1,5,8
20558,35.0,6.8,101218.0,3.0,1,1,1,3.0,14.78,0,0,2.28,46.0,Tesla_Model_S_2015,9,1,12
9790,49.0,11.98,28174.0,3.0,1,0,1,1.0,12.2,1,0,-1.3000000000000007,98.2,Tesla_Model_S_2015,8,1,21
22209,278.0,48.0,91840.0,3.0,1,1,1,1.0,20.34,0,0,4.239999999999998,236.0,Tesla_Model_S_2015,6,0,10
14160,49.0,5.74,40640.0,3.0,1,0,1,1.0,12.08,0,0,-0.4199999999999999,47.5,Tesla_Model_S_2015,6,1,1
18293,35.0,6.8,66028.0,2.0,1,1,1,1.0,15.45,0,1,2.95,44.0,Tesla_Model_S_2015,3,0,21
22810,278.0,17.0,42462.0,2.0,1,0,1,1.0,24.8,0,0,8.7,191.0,Tesla_Model_S_2015,11,2,1
23211,278.0,12.0,127174.0,2.0,0,0,1,1.0,27.0,0,0,10.9,120.0,Tesla_Model_S_2015,12,4,4
1385,278.0,15.0,126987.0,2.0,1,1,1,1.0,27.0,0,0,10.9,172.0,Tesla_Model_S_2015,11,0,30
20020,35.0,5.7,92207.0,3.0,1,1,1,1.0,13.57,0,0,1.0700000000000005,42.0,Tesla_Model_S_2015,4,0,10
