,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),user_id,month,weekday,day
2021,278.0,31.0,19117.0,2.0,1,0,1,1.0,26.39,0,0,10.29,148.0,Tesla_Model_S_2015,11,4,25
20878,132.0,30.0,50278.0,1.0,1,1,1,2.0,15.47,0,0,-1.1300000000000008,45.0,Tesla_Model_S_2015,11,1,6
2099,278.0,31.0,76690.0,2.0,1,0,1,1.0,27.54,0,0,11.439999999999998,108.0,Tesla_Model_S_2015,12,0,17
9381,49.0,6.5,152313.0,2.0,1,0,1,1.0,13.71,0,0,0.2100000000000008,47.4,Tesla_Model_S_2015,3,2,7
22984,278.0,17.0,120900.0,3.0,1,1,1,1.0,21.7,0,0,5.599999999999998,64.0,Tesla_Model_S_2015,8,0,10
22841,278.0,36.0,106691.0,2.0,1,1,1,1.0,24.65,0,0,8.549999999999997,115.0,Tesla_Model_S_2015,11,1,26
1580,278.0,31.0,46679.0,2.0,1,1,1,1.0,24.74,0,0,8.639999999999997,121.0,Tesla_Model_S_2015,12,3,28
1844,278.0,29.0,125576.0,2.0,0,0,1,1.0,22.03,0,0,5.93,70.0,Tesla_Model_S_2015,11,0,2
22372,278.0,50.0,11252.0,3.0,0,1,1,1.0,21.04,0,0,4.939999999999998,284.0,Tesla_Model_S_2015,7,0,18
20527,35.0,10.6,31991.0,2.0,0,1,1,3.0,18.28,0,1,5.780000000000001,58.0,Tesla_Model_S_2015,11,0,17
16956,88.0,1.58,46478.0,3.0,1,0,0,2.0,16.36,0,0,2.305746737554374,9.7,Tesla_Model_S_2015,5,0,11
6637,85.0,13.79,102382.0,3.0,0,1,1,1.0,12.7,0,0,0.0,126.0,Tesla_Model_S_2015,7,5,13
1422,278.0,13.0,125359.0,2.0,0,0,1,1.0,22.03,0,0,5.93,30.0,Tesla_Model_S_2015,10,2,28
17974,35.0,6.6,60834.0,2.0,1,0,1,1.0,15.71,0,1,3.210000000000001,42.0,Tesla_Model_S_2015,1,3,7
1760,278.0,27.0,71338.0,3.0,1,0,1,1.0,19.77,0,0,3.669999999999998,63.0,Tesla_Model_S_2015,9,6,23
10385,49.0,12.97,72761.0,3.0,1,1,1,1.0,12.66,0,0,-0.8399999999999999,82.9,Tesla_Model_S_2015,10,2,8
14408,49.0,6.81,16749.0,2.0,1,0,1,1.0,14.55,0,0,2.0500000000000007,46.8,Tesla_Model_S_2015,3,0,23
20636,35.0,6.2,30064.0,3.0,1,1,1,1.0,14.76,0,1,2.26,42.0,Tesla_Model_S_2015,10,2,15
6281,85.0,14.08,101637.0,3.0,0,1,1,1.0,14.8,0,1,2.1000000000000014,86.0,Tesla_Model_S_2015,7,1,9
12665,85.0,20.13,23855.0,2.0,0,1,1,2.0,12.2,0,0,-0.5,165.0,Tesla_Model_S_2015,3,6,27
6540,85.0,11.62,33215.0,2.0,0,1,0,2.0,15.4,0,1,2.700000000000001,84.0,Tesla_Model_S_2015,12,2,13
9939,49.0,7.7,182987.0,3.0,1,0,1,1.0,14.29,0,0,0.7899999999999991,53.9,Tesla_Model_S_2015,5,3,9
23318,278.0,23.0,104402.0,2.0,1,0,1,1.0,22.09,0,0,5.989999999999998,60.0,Tesla_Model_S_2015,11,4,1
22189,278.0,38.0,75482.0,2.0,1,1,0,1.0,25.29,0,0,9.189999999999998,71.0,Tesla_Model_S_2015,11,2,21
14220,49.0,5.81,62348.0,3.0,1,1,1,3.0,13.37,0,0,0.8699999999999992,65.2,Tesla_Model_S_2015,4,5,30
1729,278.0,9.79,132239.0,3.0,1,0,1,1.0,22.27,0,0,6.169999999999998,43.0,Tesla_Model_S_2015,7,5,10
7220,85.0,17.53,53036.0,3.0,0,1,0,2.0,14.5,0,1,1.8000000000000007,86.0,Tesla_Model_S_2015,5,2,2
14187,49.0,6.22,60955.0,2.0,1,0,1,1.0,13.52,0,0,1.0199999999999996,46.0,Tesla_Model_S_2015,4,2,6
19295,35.0,5.3,91374.0,2.0,1,1,1,1.0,12.62,0,0,0.1199999999999992,42.0,Tesla_Model_S_2015,3,4,31
18557,35.0,10.6,134720.0,2.0,1,1,1,3.0,23.04,0,1,10.54,46.0,Tesla_Model_S_2015,3,5,16
2169,278.0,7.0,18762.0,2.0,1,0,1,1.0,26.39,0,0,10.29,44.0,Tesla_Model_S_2015,11,5,19
10483,49.0,1.2,179951.0,3.0,1,0,0,1.0,15.841387951461192,0,0,2.305746737554374,3.5,Tesla_Model_S_2015,4,4,5
19175,35.0,11.7,145833.0,3.0,1,1,1,1.0,14.1,0,0,1.5999999999999996,83.0,Tesla_Model_S_2015,9,3,12
17868,35.0,6.5,156637.0,2.0,1,1,1,1.0,15.12,0,1,2.619999999999999,43.0,Tesla_Model_S_2015,3,2,4
21909,132.0,21.75,69396.0,3.0,1,0,1,2.0,18.39,0,0,1.7899999999999991,63.0,Tesla_Model_S_2015,9,4,6
7918,80.0,10.83,12386.0,2.0,0,0,1,1.0,13.3,1,1,-1.6999999999999993,197.0,Tesla_Model_S_2015,4,4,19
2131,278.0,13.0,84465.0,2.0,0,1,0,1.0,26.4,0,0,10.299999999999995,81.0,Tesla_Model_S_2015,3,1,26
7428,85.0,14.88,35221.0,2.0,0,0,1,2.0,15.8,0,1,3.1000000000000014,36.0,Tesla_Model_S_2015,12,0,25
20008,35.0,5.1,47772.0,3.0,1,0,0,1.0,12.14,0,0,-0.3599999999999994,42.0,Tesla_Model_S_2015,6,0,29
13961,49.0,11.34,67841.0,3.0,1,0,1,1.0,11.81,1,0,-0.6899999999999995,96.0,Tesla_Model_S_2015,7,1,19
14740,49.0,4.69,66193.0,3.0,0,1,0,1.0,11.8,1,0,-0.6999999999999993,59.9,Tesla_Model_S_2015,6,6,19
10852,49.0,13.46,55635.0,2.0,1,1,1,1.0,13.08,0,0,-0.4199999999999999,102.9,Tesla_Model_S_2015,1,2,8
2168,278.0,10.0,52424.0,2.0,1,1,1,1.0,28.44,0,0,12.34,125.0,Tesla_Model_S_2015,2,1,27
22973,278.0,21.0,58393.0,3.0,1,0,1,1.0,20.27,0,0,4.169999999999998,108.0,Tesla_Model_S_2015,5,6,27
6154,85.0,7.0,34475.0,2.0,0,1,0,2.0,16.5,0,1,3.8000000000000007,46.0,Tesla_Model_S_2015,12,2,20
22112,278.0,33.0,108076.0,2.0,1,0,1,1.0,24.58,0,0,8.479999999999997,7.0,Tesla_Model_S_2015,12,3,19
7505,80.0,17.02,58479.0,2.0,1,0,1,2.0,18.63,0,1,3.629999999999999,70.0,Tesla_Model_S_2015,3,0,15
14857,49.0,9.66,51664.0,3.0,0,1,1,3.0,13.72,0,0,1.2200000000000006,70.4,Tesla_Model_S_2015,10,5,23
6814,85.0,16.56,89400.0,2.0,0,1,1,2.0,13.8,0,0,1.1000000000000014,90.0,Tesla_Model_S_2015,4,3,18
17069,88.0,4.37,48812.0,3.0,1,0,0,2.0,11.32,0,0,2.305746737554374,38.6,Tesla_Model_S_2015,8,6,23
6111,85.0,16.0,108649.0,3.0,0,1,0,2.0,15.3,0,0,2.6000000000000014,67.0,Tesla_Model_S_2015,8,6,25
6869,85.0,1.62,19866.0,3.0,0,0,1,2.0,13.2,0,0,0.5,14.0,Tesla_Model_S_2015,8,2,30
21333,132.0,5.66,27291.0,3.0,1,0,0,2.0,21.6,0,0,5.0,22.0,Tesla_Model_S_2015,10,1,31
17566,35.0,21.0,115660.0,3.0,1,0,1,1.0,13.82,0,0,1.3200000000000005,152.0,Tesla_Model_S_2015,5,0,21
6345,85.0,16.95,43326.0,2.0,0,1,0,2.0,15.7,0,1,3.0,87.0,Tesla_Model_S_2015,2,2,21
20885,132.0,5.65,103899.0,1.0,1,0,0,1.0,21.73,0,1,5.129999999999999,26.0,Tesla_Model_S_2015,2,5,12
10511,49.0,15.74,8301.0,3.0,0,1,1,2.0,12.1,0,0,-1.4000000000000004,130.1,Tesla_Model_S_2015,10,6,16
7566,80.0,17.66,22651.0,3.0,1,0,1,1.0,13.38,1,0,-1.6199999999999992,125.0,Tesla_Model_S_2015,10,6,27
6301,85.0,5.39,70140.0,3.0,1,1,0,2.0,11.0,0,0,-1.6999999999999993,19.0,Tesla_Model_S_2015,9,4,7
23006,278.0,24.0,113942.0,2.0,1,0,1,1.0,23.95,0,0,7.849999999999998,60.0,Tesla_Model_S_2015,3,3,5
18356,35.0,5.0,117745.0,3.0,1,1,1,1.0,11.9,0,0,-0.5999999999999996,42.0,Tesla_Model_S_2015,6,0,25
6709,85.0,13.43,60875.0,3.0,0,0,1,2.0,12.4,0,0,-0.2999999999999989,76.0,Tesla_Model_S_2015,6,2,27
8522,49.0,8.05,122781.0,2.0,1,0,1,1.0,15.36,0,0,1.86,52.4,Tesla_Model_S_2015,12,3,8
21098,132.0,10.09,105278.0,3.0,1,0,0,1.0,24.04,0,0,7.439999999999998,14.0,Tesla_Model_S_2015,4,1,5
2432,278.0,23.0,56490.0,3.0,1,1,1,1.0,21.77,0,0,5.669999999999998,78.0,Tesla_Model_S_2015,5,2,2
1539,278.0,27.0,77845.0,2.0,1,0,1,1.0,27.97,0,0,11.869999999999996,86.0,Tesla_Model_S_2015,12,4,28
17280,88.0,9.95,48346.0,3.0,1,1,1,2.0,11.04,0,0,2.305746737554374,90.1,Tesla_Model_S_2015,7,1,28
17104,88.0,4.01,49973.0,3.0,1,0,0,2.0,12.46,0,0,2.305746737554374,32.2,Tesla_Model_S_2015,9,3,24
1547,278.0,13.0,111850.0,2.0,0,1,0,1.0,24.48,0,0,8.379999999999999,218.0,Tesla_Model_S_2015,2,3,6
16720,88.0,1.21,46926.0,3.0,1,0,0,2.0,10.74,0,0,2.305746737554374,11.3,Tesla_Model_S_2015,6,5,6
23065,278.0,43.0,69043.0,3.0,0,0,1,1.0,20.17,0,0,4.07,175.0,Tesla_Model_S_2015,9,5,8
14305,49.0,7.23,56303.0,2.0,1,0,1,1.0,14.73,0,1,2.2300000000000004,49.1,Tesla_Model_S_2015,1,3,6
7835,80.0,0.7,23640.0,3.0,1,0,1,1.0,27.19,1,0,12.19,86.0,Tesla_Model_S_2015,11,4,15
6101,85.0,7.26,61658.0,3.0,0,1,0,2.0,12.3,0,0,-0.3999999999999986,87.0,Tesla_Model_S_2015,7,0,2
7135,85.0,7.45,69340.0,3.0,0,1,0,3.0,13.5,0,0,0.8000000000000007,92.0,Tesla_Model_S_2015,9,0,3
18065,35.0,7.7,108931.0,2.0,1,1,1,3.0,18.33,0,1,5.829999999999998,42.0,Tesla_Model_S_2015,2,3,15
7659,80.0,8.1,21596.0,3.0,1,0,1,1.0,13.38,0,0,-1.6199999999999992,73.0,Tesla_Model_S_2015,10,3,10
21446,132.0,6.72,107481.0,3.0,1,0,1,1.0,16.0,0,0,-0.6000000000000014,42.0,Tesla_Model_S_2015,6,1,28
22042,132.0,30.0,54084.0,1.0,1,1,1,2.0,17.19,0,0,0.5899999999999999,95.0,Tesla_Model_S_2015,12,4,21
7247,85.0,9.82,73511.0,3.0,0,0,1,2.0,13.1,0,0,0.4000000000000003,75.0,Tesla_Model_S_2015,9,4,28
8286,49.0,10.28,65337.0,3.0,1,1,1,1.0,10.51,0,0,-2.99,97.8,Tesla_Model_S_2015,6,2,4
8860,49.0,6.56,52138.0,3.0,1,0,1,1.0,12.5,0,0,-1.0,49.7,Tesla_Model_S_2015,11,4,1
1853,278.0,31.0,105080.0,2.0,0,1,1,1.0,22.09,0,0,5.989999999999998,121.0,Tesla_Model_S_2015,11,1,5
21479,132.0,19.47,48081.0,3.0,1,1,1,3.0,19.67,0,0,3.0700000000000003,99.0,Tesla_Model_S_2015,9,5,29
18130,35.0,5.9,136113.0,2.0,1,1,1,1.0,14.05,0,1,1.5500000000000007,42.0,Tesla_Model_S_2015,4,2,3
8649,49.0,7.13,134874.0,3.0,1,0,1,1.0,11.3,0,0,-2.2,63.1,Tesla_Model_S_2015,6,3,1
7154,85.0,3.4,28245.0,3.0,0,1,1,2.0,14.0,0,1,1.3000000000000007,83.0,Tesla_Model_S_2015,10,5,28
18659,35.0,8.0,85503.0,2.0,1,1,1,3.0,18.6,0,1,6.100000000000001,43.0,Tesla_Model_S_2015,1,3,5
21127,132.0,10.9,81851.0,3.0,0,1,1,3.0,18.59,0,0,1.9899999999999984,120.0,Tesla_Model_S_2015,9,6,20
7382,85.0,7.52,78009.0,3.0,1,1,0,1.0,14.5,0,1,1.8000000000000007,84.0,Tesla_Model_S_2015,10,5,27
11141,49.0,9.81,75648.0,3.0,1,0,1,1.0,12.34,0,0,-1.16,78.0,Tesla_Model_S_2015,11,1,18
20193,35.0,11.5,46336.0,3.0,1,1,1,1.0,14.2,1,0,1.6999999999999993,81.0,Tesla_Model_S_2015,6,4,12
21580,132.0,5.0,55204.0,1.0,1,0,1,3.0,18.61,0,0,2.009999999999998,105.0,Tesla_Model_S_2015,1,4,11
17109,88.0,16.6,32017.0,3.0,1,1,1,2.0,12.58,0,0,2.305746737554374,132.0,Tesla_Model_S_2015,6,1,11
11960,85.0,3.24,32277.0,3.0,1,1,1,1.0,9.0,0,0,-3.6999999999999993,36.0,Tesla_Model_S_2015,9,4,23
10898,49.0,3.0,185349.0,3.0,0,1,0,3.0,12.41,0,0,-1.09,45.9,Tesla_Model_S_2015,6,2,19
9420,49.0,9.65,131561.0,3.0,0,1,1,2.0,11.6,0,0,-1.9000000000000004,32.6,Tesla_Model_S_2015,4,6,30
20328,35.0,5.4,79324.0,2.0,1,1,1,1.0,12.27,0,0,-0.2300000000000004,44.0,Tesla_Model_S_2015,10,1,4
19666,35.0,7.4,37004.0,2.0,1,0,0,1.0,21.76,0,1,9.260000000000002,34.0,Tesla_Model_S_2015,2,0,2
20100,35.0,10.6,148697.0,3.0,1,0,1,1.0,17.67,0,1,5.170000000000002,60.0,Tesla_Model_S_2015,10,3,31
22765,278.0,3.0,114040.0,2.0,1,0,1,1.0,23.95,0,0,7.849999999999998,98.0,Tesla_Model_S_2015,3,6,8
22247,278.0,18.0,115198.0,3.0,1,0,1,1.0,23.95,0,0,7.849999999999998,118.0,Tesla_Model_S_2015,4,0,27
10924,49.0,3.1,108803.0,3.0,1,0,1,1.0,14.9,0,0,1.4000000000000004,20.8,Tesla_Model_S_2015,5,3,19
18086,35.0,12.1,31264.0,2.0,1,1,1,3.0,20.86,1,1,8.36,58.0,Tesla_Model_S_2015,11,3,6
7436,85.0,12.73,83298.0,2.0,0,1,1,1.0,16.5,0,1,3.8000000000000007,33.0,Tesla_Model_S_2015,2,4,22
14860,49.0,6.77,51593.0,3.0,1,0,1,1.0,13.13,0,0,0.6300000000000008,48.0,Tesla_Model_S_2015,10,4,22
21918,132.0,19.74,72526.0,1.0,1,0,1,1.0,21.2,1,1,4.599999999999998,82.0,Tesla_Model_S_2015,11,0,11
7093,85.0,11.35,38829.0,2.0,0,1,0,2.0,13.2,0,1,0.5,87.0,Tesla_Model_S_2015,1,1,23
6659,85.0,11.44,66475.0,3.0,0,1,0,2.0,10.7,0,0,-2.0,86.0,Tesla_Model_S_2015,8,3,9
6942,85.0,15.37,34028.0,2.0,0,1,0,2.0,18.1,0,1,5.400000000000002,2.0,Tesla_Model_S_2015,12,0,18
22141,278.0,47.0,119094.0,3.0,0,1,0,1.0,21.98,0,0,5.879999999999999,299.0,Tesla_Model_S_2015,7,5,4
7441,85.0,7.12,103555.0,3.0,1,0,0,3.0,17.6,0,0,4.900000000000002,6.0,Tesla_Model_S_2015,7,6,21
21772,132.0,10.0,60553.0,1.0,1,0,0,2.0,20.25,0,0,3.649999999999999,20.0,Tesla_Model_S_2015,4,5,13
6403,85.0,13.33,102977.0,3.0,0,1,1,1.0,14.7,0,0,2.0,84.0,Tesla_Model_S_2015,7,2,17
14951,49.0,6.53,65322.0,3.0,0,1,0,1.0,12.09,1,0,-0.4100000000000001,49.6,Tesla_Model_S_2015,6,3,16
20401,35.0,7.1,137914.0,3.0,1,1,1,1.0,17.32,0,1,4.82,41.0,Tesla_Model_S_2015,5,1,7
8993,49.0,5.13,21682.0,3.0,1,0,1,1.0,10.91,0,0,-2.59,47.0,Tesla_Model_S_2015,5,0,21
18552,35.0,7.3,128857.0,2.0,1,1,1,1.0,17.38,0,1,4.879999999999999,42.0,Tesla_Model_S_2015,12,4,14
19515,35.0,5.9,100973.0,3.0,1,1,1,3.0,14.05,0,0,1.5500000000000007,42.0,Tesla_Model_S_2015,9,4,8
10304,49.0,11.55,69270.0,3.0,1,1,1,1.0,10.9,0,0,-2.6,106.0,Tesla_Model_S_2015,8,1,12
19067,35.0,4.6,119067.0,3.0,0,0,1,3.0,15.86,0,0,3.3599999999999994,29.0,Tesla_Model_S_2015,7,6,8
22291,278.0,49.0,132870.0,3.0,0,1,0,1.0,25.19,0,0,9.09,154.0,Tesla_Model_S_2015,7,6,25
17968,35.0,7.5,131099.0,2.0,1,1,1,1.0,17.86,0,1,5.359999999999999,42.0,Tesla_Model_S_2015,1,2,23
9472,49.0,11.96,54428.0,2.0,1,0,1,1.0,15.11,0,0,1.6099999999999994,16.4,Tesla_Model_S_2015,12,6,15
17431,88.0,14.49,7742.0,3.0,0,0,0,2.0,15.01,0,0,2.305746737554374,96.6,Tesla_Model_S_2015,3,0,5
21804,132.0,3.16,82093.0,3.0,1,1,1,1.0,16.63,0,0,0.0299999999999975,19.0,Tesla_Model_S_2015,9,3,24
20576,35.0,8.9,86179.0,2.0,1,1,1,1.0,21.19,0,1,8.690000000000001,42.0,Tesla_Model_S_2015,1,1,17
13901,49.0,9.75,29968.0,3.0,1,1,1,3.0,12.9,0,0,0.4000000000000003,71.8,Tesla_Model_S_2015,10,5,31
21457,132.0,24.0,27954.0,3.0,0,1,0,2.0,19.7,0,1,3.099999999999998,100.0,Tesla_Model_S_2015,11,5,18
1382,278.0,10.0,102580.0,3.0,1,0,0,1.0,19.37,0,0,3.27,8.0,Tesla_Model_S_2015,9,0,30
7513,80.0,17.91,57184.0,2.0,1,0,1,2.0,19.26,0,1,4.260000000000002,93.0,Tesla_Model_S_2015,2,0,8
17240,88.0,11.6,54449.0,3.0,1,1,1,2.0,12.87,0,0,2.305746737554374,90.1,Tesla_Model_S_2015,2,0,15
9807,49.0,6.15,96357.0,3.0,0,1,1,2.0,12.36,0,0,-1.1400000000000006,114.5,Tesla_Model_S_2015,10,6,11
17652,35.0,4.5,72850.0,2.0,1,1,1,1.0,10.71,0,0,-1.7899999999999991,42.0,Tesla_Model_S_2015,6,3,23
19546,35.0,4.2,180632.0,3.0,1,1,1,1.0,10.0,0,0,-2.5,42.0,Tesla_Model_S_2015,6,3,10
8584,49.0,7.71,123183.0,2.0,1,1,1,1.0,15.12,0,0,1.6199999999999992,51.0,Tesla_Model_S_2015,12,3,15
17318,88.0,1.03,14351.0,3.0,1,0,0,2.0,10.66,0,0,2.305746737554374,9.7,Tesla_Model_S_2015,8,2,8
19636,35.0,4.6,25558.0,3.0,1,1,1,1.0,10.95,0,0,-1.5500000000000007,42.0,Tesla_Model_S_2015,7,4,25
1585,278.0,37.0,19505.0,2.0,1,1,1,3.0,26.39,0,0,10.29,74.0,Tesla_Model_S_2015,11,2,30
23249,278.0,53.0,94670.0,3.0,0,1,0,1.0,20.56,0,0,4.459999999999997,307.0,Tesla_Model_S_2015,6,3,27
21493,132.0,14.0,54352.0,1.0,0,1,1,3.0,21.2,0,1,4.599999999999998,136.0,Tesla_Model_S_2015,12,6,23
10081,49.0,7.93,13496.0,2.0,1,0,1,1.0,16.02,0,0,2.52,49.5,Tesla_Model_S_2015,1,3,26
21682,132.0,28.79,46517.0,3.0,1,1,1,2.0,14.93,0,0,-1.6700000000000017,71.0,Tesla_Model_S_2015,9,5,8
2640,278.0,21.0,11365.0,3.0,0,1,1,1.0,21.04,0,0,4.939999999999998,113.0,Tesla_Model_S_2015,7,2,20
2335,278.0,29.0,99076.0,3.0,0,1,0,1.0,19.66,0,0,3.5599999999999987,196.0,Tesla_Model_S_2015,8,4,2
8063,80.0,6.81,23827.0,3.0,1,0,1,1.0,23.21,1,0,8.21,13.0,Tesla_Model_S_2015,11,6,17
16778,88.0,2.2,14940.0,3.0,0,0,0,2.0,10.52,0,0,2.305746737554374,20.9,Tesla_Model_S_2015,8,3,23
19932,35.0,6.8,62866.0,2.0,1,1,1,1.0,16.19,0,1,3.690000000000001,42.0,Tesla_Model_S_2015,2,4,5
6949,85.0,12.61,39262.0,2.0,0,1,0,3.0,16.8,0,1,4.100000000000001,87.0,Tesla_Model_S_2015,1,4,26
18390,35.0,16.1,134858.0,2.0,1,1,1,1.0,16.95,0,1,4.449999999999999,95.0,Tesla_Model_S_2015,3,6,17
8014,80.0,18.32,32781.0,3.0,0,1,0,1.0,16.4,0,1,1.3999999999999986,69.0,Tesla_Model_S_2015,4,5,4
9320,49.0,5.56,169408.0,3.0,0,1,1,1.0,11.23,0,0,-2.27,58.2,Tesla_Model_S_2015,9,4,28
18425,35.0,6.5,166729.0,3.0,1,1,1,3.0,15.48,0,0,2.9800000000000004,42.0,Tesla_Model_S_2015,9,2,30
12312,85.0,3.63,18485.0,2.0,1,0,1,1.0,12.1,0,0,-0.5999999999999996,30.0,Tesla_Model_S_2015,12,6,27
7313,85.0,14.14,34290.0,2.0,0,1,0,2.0,14.3,0,1,1.6000000000000014,89.0,Tesla_Model_S_2015,12,1,19
17812,35.0,6.0,179792.0,3.0,1,1,1,1.0,13.95,0,0,1.4499999999999993,43.0,Tesla_Model_S_2015,5,3,20
6291,85.0,3.62,93965.0,3.0,0,0,1,2.0,13.1,0,0,0.4000000000000003,94.0,Tesla_Model_S_2015,5,1,21
22087,278.0,17.0,99273.0,3.0,0,1,0,1.0,19.66,0,0,3.5599999999999987,97.0,Tesla_Model_S_2015,8,5,3
19070,35.0,5.1,121194.0,3.0,1,1,1,1.0,12.14,0,0,-0.3599999999999994,42.0,Tesla_Model_S_2015,8,3,23
22892,278.0,38.0,31851.0,3.0,1,1,1,1.0,22.49,0,0,6.389999999999997,202.0,Tesla_Model_S_2015,5,1,16
14090,49.0,12.28,51545.0,3.0,1,0,1,1.0,13.13,0,0,0.6300000000000008,97.1,Tesla_Model_S_2015,10,3,21
8437,49.0,6.46,28361.0,3.0,1,0,1,1.0,11.36,0,0,-2.140000000000001,71.5,Tesla_Model_S_2015,8,3,23
14163,49.0,6.13,30814.0,3.0,1,0,1,1.0,12.64,0,0,0.1400000000000005,48.5,Tesla_Model_S_2015,11,4,20
2577,278.0,16.6,133106.0,3.0,0,0,1,1.0,25.19,0,0,9.09,31.0,Tesla_Model_S_2015,7,3,29
6332,85.0,9.54,76096.0,3.0,0,1,0,1.0,13.4,0,1,0.7000000000000011,104.0,Tesla_Model_S_2015,10,0,15
8746,49.0,7.5,101910.0,2.0,1,0,1,1.0,15.31,0,0,1.8100000000000005,49.0,Tesla_Model_S_2015,1,1,19
21635,132.0,4.51,107083.0,3.0,1,0,0,1.0,17.35,0,0,0.75,26.0,Tesla_Model_S_2015,6,5,11
6974,85.0,5.6,32857.0,2.0,0,1,0,2.0,16.3,0,1,3.6000000000000014,89.0,Tesla_Model_S_2015,12,5,9
6177,85.0,15.57,109425.0,3.0,0,1,0,2.0,13.4,0,0,0.7000000000000011,108.0,Tesla_Model_S_2015,8,3,29
8492,49.0,4.0,75570.0,3.0,1,0,1,1.0,12.34,0,0,-1.16,33.9,Tesla_Model_S_2015,11,5,15
20587,35.0,5.5,91058.0,2.0,1,1,1,1.0,12.79,0,0,0.2899999999999991,43.0,Tesla_Model_S_2015,3,1,28
21316,132.0,7.69,71286.0,3.0,1,0,0,2.0,19.78,0,0,3.18,71.0,Tesla_Model_S_2015,10,0,7
10000,49.0,0.86,182359.0,3.0,0,1,1,1.0,14.26,0,0,0.7599999999999998,22.5,Tesla_Model_S_2015,4,5,27
22778,278.0,18.0,81166.0,2.0,1,0,1,1.0,25.32,0,0,9.22,51.0,Tesla_Model_S_2015,2,5,16
19139,35.0,5.5,67633.0,2.0,1,1,1,1.0,13.1,0,0,0.5999999999999996,42.0,Tesla_Model_S_2015,4,2,13
6404,85.0,12.96,74146.0,3.0,1,0,0,1.0,12.2,0,0,-0.5,22.0,Tesla_Model_S_2015,10,2,3
9211,49.0,6.86,105200.0,2.0,1,0,1,1.0,13.86,0,0,0.3599999999999994,49.5,Tesla_Model_S_2015,3,2,16
17195,88.0,22.45,38480.0,3.0,1,1,1,2.0,12.24,0,0,2.305746737554374,183.5,Tesla_Model_S_2015,10,0,28
9416,49.0,1.6,99452.0,2.0,1,1,0,1.0,14.6,0,0,1.0999999999999996,20.9,Tesla_Model_S_2015,12,1,8
12385,85.0,9.5,40293.0,2.0,1,1,0,2.0,13.2,0,0,0.5,72.0,Tesla_Model_S_2015,12,5,31
7139,85.0,3.38,110722.0,3.0,0,0,1,2.0,13.7,0,0,1.0,14.0,Tesla_Model_S_2015,9,6,8
23257,278.0,35.0,123573.0,3.0,0,1,0,1.0,22.03,0,0,5.93,149.0,Tesla_Model_S_2015,9,5,26
9239,49.0,11.29,27014.0,3.0,1,0,1,1.0,10.56,0,0,-2.9399999999999995,106.9,Tesla_Model_S_2015,8,2,1
1675,278.0,44.0,145959.0,3.0,1,1,1,1.0,22.14,0,0,6.039999999999999,214.0,Tesla_Model_S_2015,5,3,5
7073,85.0,16.08,53378.0,3.0,0,1,0,1.0,14.2,0,1,1.5,85.0,Tesla_Model_S_2015,5,4,4
18177,35.0,6.9,158095.0,2.0,1,1,1,3.0,16.43,0,1,3.93,42.0,Tesla_Model_S_2015,3,3,26
10003,49.0,5.6,49819.0,3.0,1,0,1,1.0,12.19,0,0,-1.3100000000000005,41.0,Tesla_Model_S_2015,9,5,28
6656,85.0,7.32,86511.0,2.0,0,0,1,1.0,13.4,0,0,0.7000000000000011,42.0,Tesla_Model_S_2015,3,5,30
7501,80.0,7.96,77825.0,3.0,1,0,1,2.0,15.85,0,0,0.8499999999999996,79.0,Tesla_Model_S_2015,7,1,5
21998,132.0,3.55,107323.0,3.0,1,0,0,1.0,17.75,0,0,1.1499999999999986,20.0,Tesla_Model_S_2015,6,3,23
6510,85.0,2.6,29637.0,2.0,1,1,0,2.0,17.0,0,1,4.300000000000001,63.0,Tesla_Model_S_2015,11,0,13
17107,88.0,9.95,33397.0,3.0,1,1,1,2.0,11.04,0,0,2.305746737554374,90.1,Tesla_Model_S_2015,7,0,1
17088,88.0,9.47,5464.0,3.0,0,0,0,2.0,15.48,0,0,2.305746737554374,61.2,Tesla_Model_S_2015,1,3,18
14681,49.0,8.98,54722.0,2.0,0,1,0,1.0,15.3,0,0,2.8000000000000007,53.4,Tesla_Model_S_2015,12,1,7
17963,35.0,8.0,109426.0,2.0,1,1,1,1.0,19.05,0,1,6.550000000000001,42.0,Tesla_Model_S_2015,2,4,23
10007,49.0,2.8,170240.0,3.0,0,1,0,1.0,11.62,0,0,-1.8800000000000008,17.9,Tesla_Model_S_2015,10,3,4
2038,278.0,11.0,117855.0,3.0,0,1,0,1.0,19.03,0,0,2.93,223.0,Tesla_Model_S_2015,6,1,23
14023,49.0,13.99,19923.0,3.0,0,1,1,3.0,14.75,0,0,2.25,66.2,Tesla_Model_S_2015,5,6,24
22067,278.0,15.0,138459.0,2.0,0,0,1,1.0,24.19,0,0,8.09,24.0,Tesla_Model_S_2015,11,2,3
21600,132.0,5.63,46546.0,3.0,1,0,0,2.0,19.41,0,0,2.8099999999999987,29.0,Tesla_Model_S_2015,9,6,9
9855,49.0,6.82,37284.0,2.0,1,0,1,1.0,14.0,0,0,0.5,48.7,Tesla_Model_S_2015,2,4,8
18831,35.0,15.0,152881.0,2.0,1,1,1,1.0,17.05,0,1,4.550000000000001,88.0,Tesla_Model_S_2015,1,3,9
