,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
9527,35.0,14.1,56526.0,2.0,1,0,1,3.0,16.79,0,0,4.289999999999999,84.0,11,0,9
22651,35.0,6.9,173198.0,2.0,1,1,1,1.0,16.43,0,1,3.93,42.0,1,0,25
15493,49.0,6.88,134059.0,3.0,0,1,0,1.0,10.27,0,0,-3.2300000000000004,69.1,5,3,25
9943,88.0,20.8,84174.0,2.0,0,1,1,2.0,14.7,1,1,2.5732372740337426,122.0,1,6,31
16004,315.0,38.62,113823.0,2.0,1,1,0,2.0,30.41,0,0,15.61,183.0,12,0,13
25825,132.0,22.43,31546.0,3.0,0,1,1,1.0,16.14,0,0,-0.4600000000000008,139.0,1,5,6
18357,35.0,5.8,123923.0,3.0,1,1,1,1.0,13.49,0,0,0.9900000000000002,43.0,9,3,27
21958,49.0,6.43,6384.0,3.0,1,0,0,1.0,11.64,0,0,-0.8599999999999994,0.1,11,3,7
2775,35.0,7.3,87471.0,2.0,1,1,1,1.0,17.38,0,1,4.879999999999999,42.0,2,4,3
10156,132.0,16.76,97593.0,3.0,1,0,1,1.0,17.46,0,0,0.8599999999999994,96.0,9,1,21
18566,315.0,41.4,37939.0,2.0,1,1,0,2.0,27.71,0,0,12.91,80.0,1,3,17
18232,35.0,7.8,25606.0,3.0,1,1,1,3.0,16.25,1,0,3.75,48.0,7,4,25
13633,85.0,6.0,43869.0,2.0,1,0,1,2.0,12.3,0,0,-0.3999999999999986,49.0,3,5,25
4734,278.0,30.0,68240.0,3.0,1,0,1,1.0,20.55,0,0,4.449999999999999,109.0,9,6,2
3047,315.0,48.5,96718.0,3.0,1,1,0,2.0,23.25,0,0,8.45,183.0,5,4,14
5756,35.0,18.9,151885.0,2.0,1,1,1,3.0,21.98,0,1,9.48,86.0,12,6,15
3863,85.0,3.3,50613.0,3.0,1,1,1,2.0,17.3,0,0,4.600000000000001,19.0,6,3,29
24780,35.0,6.7,58873.0,2.0,1,1,1,1.0,15.95,0,1,3.45,42.0,12,0,7
11944,80.0,18.04,79937.0,3.0,1,0,1,2.0,14.9,0,0,-0.0999999999999996,104.0,8,5,20
25985,49.0,8.57,142563.0,3.0,1,0,1,1.0,11.85,0,0,-1.6500000000000004,65.3,9,6,10
24643,278.0,42.0,79187.0,2.0,1,1,1,1.0,28.05,0,0,11.95,125.0,1,3,24
20214,85.0,14.49,69818.0,2.0,1,1,1,1.0,13.8,1,0,1.1000000000000014,105.0,2,4,5
22201,85.0,37.6,58990.0,2.0,0,1,0,2.0,13.3,0,0,0.6000000000000014,283.0,11,6,5
3267,85.0,14.52,18131.0,3.0,0,1,1,1.0,12.1,1,0,-0.5999999999999996,104.0,8,4,18
10564,278.0,38.0,127295.0,2.0,1,0,1,1.0,27.0,0,0,10.9,88.0,12,6,13
24750,35.0,6.0,167589.0,2.0,1,1,1,1.0,13.95,0,1,1.4499999999999993,43.0,10,1,13
24319,35.0,7.7,86094.0,2.0,1,1,1,1.0,18.33,0,1,5.829999999999998,42.0,1,0,16
19329,132.0,26.2,61846.0,3.0,1,1,1,1.0,19.33,0,0,2.729999999999997,56.0,5,5,25
9608,85.0,10.76,69662.0,2.0,1,0,1,1.0,15.6,1,0,2.9000000000000004,69.0,2,0,1
7706,49.0,5.56,41629.0,3.0,1,0,1,1.0,11.8,0,0,-0.6999999999999993,47.1,6,1,15
20661,49.0,9.94,40836.0,3.0,0,1,1,1.0,13.31,0,0,0.8100000000000005,74.7,6,5,5
11196,85.0,1.58,24294.0,2.0,1,1,1,1.0,8.3,0,0,-4.399999999999999,19.0,4,3,7
23991,88.0,10.7,48900.0,2.0,1,1,1,2.0,13.6,1,1,2.5732372740337426,7.0,2,1,4
17144,132.0,21.97,91847.0,3.0,1,1,1,2.0,20.0,0,0,3.3999999999999986,115.0,6,5,12
