power(kW),quantity(kWh),odometer,consumption(kWh/100km),ecr_deviation,trip_distance(km),tire_type,city,motor_way,country_roads,driving_style,A/C,park_heating,labels
-0.1686746987951807,-0.09941860465116295,-0.43139025689670857,0.6634106634106632,0.9222222222222225,-0.27670588235294125,2.0,1,1,1,1.0,0,1,1
0.0,-0.25058139534883733,-0.9048754499265824,-0.4989824989824992,-0.6644444444444443,0.0018823529411763635,3.0,0,1,0,1.0,1,0,1
0.43373493975903615,0.3773255813953488,-0.3677053419442026,0.3915343915343911,0.5066666666666667,0.4385882352941176,2.0,0,1,1,3.0,0,1,1
0.0,-0.4226744186046514,0.7845095312966982,-0.5054945054945056,-0.8955555555555552,-0.17505882352941185,3.0,0,0,1,1.0,0,0,1
-0.1686746987951807,0.8540697674418604,0.45576750652962045,0.778998778998779,1.0800000000000005,0.4950588235294117,2.0,1,1,1,1.0,0,1,1
0.0,-0.369186046511628,-0.5926881245370792,-0.5234025234025237,-0.6977777777777777,-0.15247058823529414,3.0,1,0,1,1.0,0,0,1
-0.1686746987951807,0.5866279069767439,0.13540678560754707,0.32804232804232814,0.464444444444445,0.4950588235294117,2.0,1,0,1,1.0,0,1,1
-0.1686746987951807,-0.1808139534883723,0.5143326792884338,0.3915343915343911,0.551111111111111,-0.27670588235294125,2.0,1,1,1,1.0,0,1,1
-0.1686746987951807,-0.33197674418604667,0.033427758358563875,-0.16361416361416373,-0.20666666666666642,-0.2578823529411765,2.0,1,1,1,1.0,1,0,1
1.0,-0.29709302325581416,0.42012422521667947,1.8404558404558404,1.6177777777777778,-0.8602352941176471,1.0,1,0,0,1.0,0,1,1
0.46987951807228917,0.14593023255813942,-0.28854425198487466,-0.5689865689865692,0.08213277405824243,0.628705882352941,3.0,1,1,1,2.0,0,0,1
0.0,-0.6296511627906978,0.5198422495679406,-0.3687423687423688,-0.7088888888888886,-0.8865882352941177,3.0,1,0,1,1.0,0,0,1
1.0,0.6284883720930232,0.034259391608300736,0.2629222629222627,-0.5355555555555558,0.25035294117647056,1.0,1,1,1,1.0,0,0,1
0.46987951807228917,0.6424418604651161,-0.27491326325090637,-0.5201465201465202,0.08213277405824243,1.2950588235294118,3.0,1,1,1,2.0,0,0,1
0.0,-0.46802325581395365,0.9642852502046597,-0.28734228734228745,-0.5977777777777775,-0.7322352941176472,3.0,0,0,1,1.0,0,0,1
0.0,-0.5994186046511629,1.2378795950985615,-0.38502238502238506,-0.7311111111111107,-0.5308235294117648,3.0,1,0,1,3.0,0,0,1
0.0,-0.463372093023256,-0.0912392634848032,-0.586894586894587,-1.0066666666666664,0.7359999999999999,3.0,1,1,1,1.0,0,0,1
1.0,0.33081395348837195,0.17481840508335825,1.179487179487179,0.7155555555555551,-0.8225882352941177,3.0,0,1,1,2.0,0,0,1
