,power(kW),quantity(kWh),avg_speed(km/h),tire_type,city,motor_way,country_roads,driving_style,park_heating,consumption(kWh/100km),trip_distance(km),month,weekday,day
10111,85.0,4.7,38.0,0.0,1,0,1,0.0,0,11.5,41.0,7,6,23
16924,85.0,3.24,36.0,0.0,1,0,1,0.0,0,10.8,30.0,6,4,24
10949,85.0,19.79,64.0,0.0,0,0,1,0.0,0,15.1,131.0,3,5,19
5149,85.0,16.47,61.0,0.0,0,1,1,0.0,0,12.8,122.0,5,3,2
6117,85.0,13.5,62.0,0.0,0,1,0,0.0,1,13.9,83.0,10,4,13
17275,85.0,13.23,45.0,0.0,1,0,1,0.0,0,13.5,98.0,2,2,24
6049,85.0,2.24,24.0,0.0,1,0,0,0.0,1,19.0,9.0,11,0,20
5548,85.0,10.41,75.0,0.0,0,1,0,0.0,0,11.1,72.0,8,2,1
17363,85.0,4.73,39.0,0.0,1,0,1,0.0,0,11.0,43.0,8,6,23
10160,85.0,1.9,34.0,0.0,1,0,0,0.0,0,12.6,15.0,6,1,20
9181,85.0,0.3,16.0,0.0,1,0,0,0.0,0,14.4,2.0,4,2,17
17513,85.0,10.77,42.0,0.0,1,0,1,0.0,0,12.1,89.0,10,4,4
9384,85.0,3.9,50.0,0.0,1,1,1,0.0,0,19.4,20.0,12,0,17
10723,85.0,1.5,51.0,0.0,1,1,1,0.0,0,7.5,20.0,7,3,7
5386,85.0,8.95,47.0,0.0,0,1,1,0.0,1,13.8,89.0,10,0,22
5938,85.0,16.6,70.0,0.0,0,1,0,0.0,1,15.3,88.0,1,4,12
6119,85.0,18.7,54.0,0.0,0,1,1,0.0,0,14.1,41.0,10,3,12
11678,85.0,3.92,48.0,0.0,1,1,1,0.0,0,19.6,20.0,3,0,2
11405,85.0,0.09,13.0,0.0,1,0,0,0.0,0,9.1,1.0,8,0,3
17150,85.0,9.32,41.0,0.0,1,0,1,0.0,0,11.8,79.0,10,4,8
5798,85.0,9.83,79.0,0.0,0,1,0,0.0,1,15.1,86.0,3,0,19
10499,85.0,50.26,71.0,0.0,0,1,1,0.0,0,14.0,359.0,11,6,27
11140,85.0,0.35,20.0,0.0,1,0,0,0.0,0,17.8,2.0,12,1,8
17024,85.0,3.56,48.0,0.0,1,0,1,0.0,0,12.3,29.0,2,6,27
9548,85.0,1.7,61.0,0.0,1,0,0,0.0,0,12.4,14.0,9,4,7
17359,85.0,2.43,45.0,0.0,1,0,1,0.0,0,10.6,23.0,9,4,4
10143,85.0,0.9,28.0,0.0,1,0,0,0.0,0,12.5,7.0,6,2,28
17121,85.0,11.7,42.0,0.0,1,0,1,0.0,0,15.2,77.0,11,3,18
6228,85.0,14.81,53.0,0.0,1,1,0,0.0,0,11.8,54.0,8,2,23
11283,85.0,4.64,45.0,0.0,1,1,0,0.0,0,11.6,40.0,9,6,27
28677,85.0,8.5,42.0,0.0,1,0,1,0.0,0,21.8,39.0,1,0,21
10105,85.0,1.2,49.0,0.0,1,1,1,0.0,0,6.3,19.0,7,2,26
9343,85.0,1.1,28.0,0.0,1,0,0,0.0,0,15.4,7.0,1,6,13
29067,85.0,16.35,46.0,0.0,1,0,1,0.0,0,11.2,146.0,5,5,27
16857,85.0,7.07,44.0,0.0,1,0,1,0.0,0,12.2,58.0,9,4,16
9121,85.0,0.3,14.0,0.0,1,0,0,0.0,0,15.1,2.0,5,4,31
10009,85.0,1.6,53.0,0.0,1,1,1,0.0,0,8.6,19.0,9,0,11
11783,85.0,3.43,39.0,0.0,1,1,1,0.0,0,15.6,22.0,1,1,6
10599,85.0,3.24,40.0,0.0,1,0,1,0.0,0,9.0,36.0,9,2,28
5428,85.0,13.0,64.0,0.0,0,1,0,0.0,0,12.5,98.0,9,6,30
9833,85.0,3.7,44.0,0.0,1,1,1,0.0,0,18.7,20.0,12,2,20
28995,85.0,11.68,50.0,0.0,1,0,1,0.0,1,13.9,84.0,9,3,21
29899,132.0,26.03,72.0,0.0,0,1,0,0.0,0,15.0,331.0,6,1,11
28729,85.0,10.45,50.0,0.0,1,1,1,0.0,0,13.4,78.0,11,6,11
10367,85.0,1.8,51.0,0.0,1,1,1,0.0,0,9.0,20.0,2,3,23
9409,85.0,21.8,66.0,0.0,0,1,0,0.0,0,12.5,174.0,11,4,30
11487,85.0,2.57,42.0,0.0,1,1,1,0.0,0,9.9,26.0,6,0,15
