,power(kW),quantity(kWh),avg_speed(km/h),tire_type,city,motor_way,country_roads,driving_style,park_heating,consumption(kWh/100km),trip_distance(km),month,weekday,day
17076,85.0,4.45,46.0,0.0,1,0,1,0.0,0,17.8,25.0,1,6,2
10469,85.0,1.8,50.0,0.0,1,1,1,0.0,0,9.0,20.0,12,0,12
10292,85.0,1.5,20.0,0.0,1,0,0,0.0,0,11.8,13.0,4,6,2
11442,85.0,3.87,37.0,0.0,1,1,0,0.0,0,9.0,43.0,7,4,3
5743,85.0,13.76,57.0,0.0,0,1,0,0.0,1,16.3,90.0,4,4,13
17041,85.0,6.52,50.0,0.0,1,0,1,0.0,0,16.3,40.0,2,4,11
11693,85.0,0.25,25.0,0.0,1,0,0,0.0,0,12.5,2.0,2,2,25
17177,85.0,2.61,43.0,0.0,1,0,1,0.0,0,10.9,24.0,8,5,28
17295,85.0,15.67,46.0,0.0,1,0,1,0.0,0,20.1,78.0,1,2,20
17038,85.0,16.45,52.0,0.0,1,1,1,0.0,0,15.1,109.0,2,0,14
10951,85.0,3.02,32.0,0.0,1,0,1,0.0,0,11.2,27.0,3,4,18
5312,85.0,12.35,54.0,0.0,0,0,1,0.0,1,17.7,90.0,1,0,14
9406,85.0,0.4,19.0,0.0,1,0,0,0.0,0,14.9,3.0,12,3,6
11787,85.0,0.29,26.0,0.0,1,0,0,0.0,0,14.5,2.0,1,6,4
5594,85.0,8.0,69.0,0.0,0,1,0,0.0,0,12.0,115.0,7,1,3
29452,132.0,43.53,68.0,0.0,1,1,0,0.0,0,15.5,384.0,7,0,5
10651,85.0,1.78,44.0,0.0,1,1,1,0.0,0,8.1,22.0,8,3,18
11698,85.0,5.14,41.0,0.0,1,1,1,0.0,1,25.7,20.0,2,0,23
6036,85.0,4.42,74.0,0.0,0,1,0,0.0,1,17.4,46.0,11,1,28
11313,85.0,1.95,39.0,0.0,1,1,1,0.0,1,8.9,22.0,9,2,9
9909,85.0,38.5,76.0,0.0,0,1,0,0.0,0,14.7,262.0,11,6,5
17225,85.0,2.77,29.0,0.0,1,0,1,0.0,0,12.6,22.0,5,1,25
11305,85.0,2.05,48.0,0.0,1,1,1,0.0,0,9.8,21.0,9,6,13
9783,85.0,3.8,41.0,0.0,1,1,1,0.0,0,18.8,20.0,2,3,1
11384,85.0,3.5,46.0,0.0,1,1,1,0.0,0,17.5,20.0,8,1,11
10133,85.0,8.4,63.0,0.0,1,0,1,0.0,0,13.6,62.0,7,2,12
10720,85.0,7.97,65.0,0.0,1,1,0,0.0,0,11.9,67.0,7,5,9
17070,85.0,4.68,41.0,0.0,1,0,1,0.0,0,18.0,26.0,1,6,9
5947,85.0,16.66,51.0,0.0,0,1,0,0.0,1,17.5,88.0,1,0,8
28937,85.0,9.15,45.0,0.0,1,0,1,0.0,1,19.9,46.0,12,6,10
17333,85.0,11.16,44.0,0.0,1,0,1,0.0,0,15.3,73.0,11,6,8
16889,85.0,14.2,58.0,0.0,1,1,1,0.0,0,12.8,111.0,7,5,23
10643,85.0,1.64,49.0,0.0,1,1,1,0.0,0,8.2,20.0,8,0,22
9844,85.0,0.9,23.0,0.0,1,0,0,0.0,0,21.9,4.0,12,5,9
17062,85.0,4.22,41.0,0.0,1,0,1,0.0,0,17.6,24.0,1,2,19
6143,85.0,3.72,48.0,0.0,1,0,1,0.0,0,13.5,23.0,9,5,30
5815,85.0,3.8,73.0,0.0,0,1,0,0.0,1,14.8,47.0,3,1,13
9639,85.0,3.4,48.0,0.0,1,1,1,0.0,0,17.0,20.0,7,4,13
10217,85.0,48.8,61.0,0.0,0,1,0,0.0,0,12.6,387.0,5,6,14
16972,85.0,3.62,47.0,0.0,1,0,1,0.0,0,15.1,24.0,4,1,26
5549,85.0,11.16,73.0,0.0,0,1,0,0.0,0,12.0,100.0,8,2,1
6121,85.0,3.8,77.0,0.0,0,1,0,0.0,0,12.0,81.0,10,3,12
11491,85.0,0.47,21.0,0.0,1,0,0,0.0,0,9.4,5.0,6,5,13
5273,85.0,12.19,82.0,0.0,0,1,0,0.0,1,20.4,77.0,2,5,23
11441,85.0,18.01,42.0,0.0,0,1,1,0.0,0,12.6,143.0,7,5,4
10264,85.0,1.9,54.0,0.0,1,0,1,0.0,0,9.0,21.0,4,1,18
11430,85.0,3.06,56.0,0.0,1,1,1,0.0,0,56.0,20.0,7,3,9
6000,85.0,12.15,25.0,0.0,0,1,0,0.0,1,16.66,12.0,12,3,14
17389,85.0,4.72,45.0,0.0,1,0,1,0.0,0,11.8,40.0,6,3,11
28882,85.0,9.36,46.0,0.0,1,0,1,0.0,0,19.5,48.0,2,1,20
17448,85.0,3.14,38.0,0.0,1,0,1,0.0,0,16.5,19.0,12,5,28
9148,85.0,0.4,14.0,0.0,1,0,0,0.0,0,12.7,3.0,5,3,16
5192,85.0,4.81,66.0,0.0,0,1,1,0.0,1,15.7,33.0,4,3,11
5830,85.0,3.87,73.0,0.0,0,1,0,0.0,1,15.3,47.0,3,2,7
29514,132.0,8.0,62.0,0.0,1,1,1,0.0,0,13.9,160.0,4,4,16
10186,85.0,1.7,41.0,0.0,1,0,0,0.0,0,11.4,15.0,5,2,31
10984,85.0,4.0,47.0,0.0,1,1,1,0.0,0,20.0,20.0,3,4,4
28782,85.0,13.46,46.0,0.0,1,0,1,0.0,0,10.6,127.0,8,0,20
9538,85.0,3.4,47.0,0.0,1,1,1,0.0,0,16.8,20.0,9,2,12
