,power(kW),trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,park_heating,avg_speed(km/h),ecr_deviation,month,weekday,day
66,100.0,100.0,11.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,0.0,6.0
67,100.0,67.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,5.0,4.0
68,100.0,33.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,4.0,3.0
69,100.0,114.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,4.0,3.0
70,100.0,29.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,3.0,2.0
71,100.0,68.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,3.0,2.0
72,100.0,91.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,3.0,2.0
73,100.0,83.0,16.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,2.0,1.0
74,100.0,79.0,13.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,2.0,1.0
75,100.0,98.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,12.0,2.0,1.0
76,100.0,62.0,13.3,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,1.0,30.0
77,100.0,93.0,23.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,0.0,29.0
78,100.0,85.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,0.0,29.0
79,100.0,198.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,0.0,29.0
80,100.0,55.0,23.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,4.0,26.0
81,100.0,70.0,12.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,4.0,26.0
82,100.0,58.0,7.2,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,3.0,25.0
83,100.0,45.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,3.0,25.0
84,100.0,73.0,23.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,2.0,24.0
85,100.0,33.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,2.0,24.0
86,100.0,144.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,2.0,24.0
87,100.0,66.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.67,11.0,1.0,23.0
88,100.0,48.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,1.0,23.0
89,100.0,74.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,0.0,22.0
90,100.0,74.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,0.0,22.0
91,100.0,68.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,6.0,21.0
92,100.0,70.0,10.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,5.0,20.0
93,100.0,59.0,21.2,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,3.0,18.0
94,100.0,100.0,13.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,3.0,18.0
95,100.0,75.0,23.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,3.0,18.0
96,100.0,39.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,2.0,17.0
97,100.0,80.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,2.0,17.0
98,100.0,96.0,23.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,1.0,16.0
99,100.0,83.0,16.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,1.0,16.0
100,100.0,79.0,23.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,0.0,15.0
101,100.0,75.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,0.0,15.0
102,100.0,70.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,0.0,15.0
103,100.0,70.0,9.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,0.0,15.0
104,100.0,123.0,12.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,4.0,12.0
105,100.0,59.0,9.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,3.0,11.0
106,100.0,56.0,7.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.56,11.0,3.0,11.0
107,100.0,57.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,3.0,11.0
108,100.0,67.0,9.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,2.0,10.0
109,100.0,28.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,2.0,10.0
110,100.0,90.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,2.0,10.0
111,100.0,71.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,1.0,9.0
112,100.0,75.0,11.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,1.0,9.0
113,100.0,74.0,23.3,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,0.0,8.0
114,100.0,94.0,6.8,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,0.0,8.0
115,100.0,53.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,0.0,8.0
116,100.0,62.0,28.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,6.0,7.0
117,100.0,94.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,4.0,5.0
118,100.0,68.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,4.0,5.0
119,100.0,50.0,18.4,1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.14,11.0,4.0,5.0
