power(kW),quantity(kWh),odometer,consumption(kWh/100km),ecr_deviation,trip_distance(km),tire_type,city,motor_way,country_roads,driving_style,A/C,park_heating,labels
2.7590361445783134,0.5052325581395348,0.5406980521589979,1.5457875457875454,1.3266666666666662,-0.8978823529411766,2.0,1,0,0,1.0,0,0,0
2.7590361445783134,2.1331395348837208,0.4087282508413789,0.7936507936507936,0.3000000000000002,1.7938823529411765,3.0,1,1,1,1.0,0,0,0
-0.1686746987951807,1.71453488372093,0.20352274646880725,1.4122914122914123,1.9444444444444453,0.8338823529411764,2.0,1,1,1,1.0,0,1,0
2.7590361445783134,0.272674418604651,-0.7811570097586964,1.0118030118030117,0.5977777777777779,0.024470588235294063,3.0,1,0,1,1.0,0,0,0
2.7590361445783134,2.71453488372093,-0.3500071468482399,2.039072039072039,2.0,0.8150588235294117,2.0,0,1,1,3.0,0,0,0
2.7590361445783134,1.900581395348837,-0.1851618436269605,1.1843711843711842,0.8333333333333331,-0.8978823529411766,3.0,1,0,0,1.0,0,0,0
2.7590361445783134,0.15639534883720918,0.2425965149369128,1.0004070004070003,0.5822222222222222,-0.2014117647058824,3.0,1,0,1,1.0,0,0,0
2.7590361445783134,1.0866279069767442,0.6279675663032602,1.2185592185592184,0.88,0.26917647058823524,3.0,1,0,1,1.0,0,0,0
2.7590361445783134,2.71453488372093,-0.552626791584911,1.448107448107448,1.1933333333333334,0.8338823529411764,2.0,1,0,1,1.0,0,0,0
2.7590361445783134,6.900581395348837,-0.5629572358589862,1.3064713064713063,0.9999999999999998,4.617411764705882,2.0,0,1,0,1.0,0,0,0
2.7590361445783134,5.272674418604652,0.4570019621346986,1.2853072853072853,0.9711111111111111,2.8291764705882354,2.0,0,1,0,1.0,0,0,0
2.7590361445783134,0.6215116279069767,-0.45324661824135554,1.2576312576312572,0.933333333333333,-0.7096470588235295,3.0,1,0,1,3.0,0,0,0
2.7590361445783134,1.4354651162790697,0.6827384123601492,1.0606430606430608,0.6644444444444447,-0.4649411764705883,3.0,1,0,1,1.0,0,0,0
2.7590361445783134,0.040116279069767315,-0.7104681835310628,1.4155474155474155,1.148888888888889,-0.5778823529411765,3.0,1,0,1,1.0,0,0,0
0.46987951807228917,4.628488372093023,-0.6722910196603298,-0.4143264143264146,0.08213277405824243,6.567529411764706,3.0,1,0,1,2.0,0,0,0
2.7590361445783134,0.272674418604651,0.999954520056655,1.2576312576312572,0.933333333333333,-0.33317647058823535,3.0,1,0,1,1.0,0,0,0
2.7590361445783134,1.6680232558139534,0.2521083202307782,1.0264550264550263,0.6177777777777779,0.5515294117647058,3.0,1,0,1,1.0,0,0,0
2.7590361445783134,3.8773255813953487,0.8768078277479632,1.5783475783475784,1.3711111111111114,2.8480000000000003,2.0,0,1,1,1.0,0,0,0
2.7590361445783134,-0.07616279069767455,-0.4719453720909079,1.0541310541310538,0.6555555555555552,-0.8790588235294118,3.0,1,0,1,1.0,0,0,0
2.7590361445783134,4.575,-0.6260963914913523,2.6023606023606023,2.768888888888889,1.2291764705882353,2.0,1,0,1,1.0,0,0,0
2.7590361445783134,1.900581395348837,0.46811206258040206,1.586487586487586,1.3822222222222218,2.9985882352941178,2.0,1,1,1,1.0,0,0,0
2.7590361445783134,3.4122093023255813,-0.5326286107826449,1.658119658119658,1.4799999999999998,2.151529411764706,3.0,1,0,1,1.0,0,0,0
2.7590361445783134,2.249418604651163,0.42026716218147797,0.9304029304029303,0.48666666666666675,1.5491764705882352,3.0,1,0,1,1.0,0,0,0
2.7590361445783134,2.1331395348837208,1.0364294346193328,1.1501831501831499,0.7866666666666663,2.2079999999999997,3.0,1,0,1,1.0,0,0,0
2.7590361445783134,2.598255813953488,1.049943474927557,0.21600999699312912,0.08213277405824243,1.360941176470588,3.0,1,0,1,1.0,0,0,0
1.0,2.016860465116279,-0.22216952324025105,0.8603988603988604,0.28000000000000025,0.23152941176470582,1.0,1,1,1,2.0,0,0,0
2.7590361445783134,0.15639534883720918,0.7986343022726977,1.2657712657712654,0.9444444444444442,-0.2578823529411765,3.0,1,0,1,1.0,0,0,0
2.7590361445783134,-0.7738372093023257,0.47534987070701823,1.6418396418396415,1.4577777777777774,2.2079999999999997,2.0,1,1,1,1.0,0,0,0
2.7590361445783134,4.9238372093023255,-0.09590420624504593,1.202279202279202,0.8577777777777774,0.11858823529411759,3.0,1,0,1,1.0,0,0,0
2.7590361445783134,5.455232558139535,0.8269488155723326,1.7411477411477412,1.5933333333333335,4.749176470588235,3.0,0,1,0,1.0,0,0,0
2.7590361445783134,1.5517441860465115,-0.2102407838143379,1.8323158323158322,1.717777777777778,-0.29552941176470593,2.0,1,1,1,1.0,0,0,0
2.7590361445783134,1.3191860465116279,0.48119729199423056,1.6418396418396415,1.4577777777777774,0.0997647058823529,2.0,1,0,1,1.0,0,0,0
2.7590361445783134,1.5517441860465115,0.8791857790714295,1.5783475783475784,1.3711111111111114,0.4950588235294117,2.0,0,0,1,1.0,0,0,0
2.7590361445783134,-0.6575581395348838,-0.43752355211351796,1.444851444851445,1.188888888888889,-0.8790588235294118,3.0,1,0,0,1.0,0,0,0
2.7590361445783134,4.691279069767442,-0.1926465428745923,1.1843711843711842,0.8333333333333331,1.9821176470588235,3.0,1,1,1,1.0,0,0,0
2.7590361445783134,3.4122093023255813,-0.6358290993671791,2.13024013024013,2.1244444444444444,0.8715294117647058,2.0,1,0,1,1.0,0,0,0
2.7590361445783134,0.040116279069767315,0.8613056642020869,1.2478632478632476,0.9199999999999999,-0.31435294117647067,2.0,0,0,1,1.0,0,0,0
