,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
14840,49.0,11.02,11880.0,2.0,0,1,1,3.0,17.14,0,0,4.640000000000001,73.6,12,2,25
19397,35.0,7.3,131300.0,2.0,1,1,1,1.0,17.38,0,1,4.879999999999999,42.0,1,4,25
10544,49.0,8.1,108443.0,3.0,1,0,1,1.0,12.29,0,0,-1.2100000000000009,65.9,5,2,11
19599,35.0,8.6,88918.0,2.0,1,1,1,1.0,19.55,0,1,7.050000000000001,44.0,2,4,24
14720,49.0,8.5,53748.0,2.0,0,1,0,1.0,15.76,0,1,3.26,56.7,12,4,3
6877,85.0,4.38,77064.0,3.0,0,1,0,1.0,14.3,0,0,1.6000000000000014,32.0,10,6,21
13894,49.0,7.2,9903.0,2.0,0,1,0,1.0,15.0,0,0,2.5,46.3,12,4,6
9939,49.0,7.3,64031.0,3.0,1,0,1,2.0,9.58,0,0,-3.92,75.8,5,5,24
6641,85.0,13.03,26573.0,3.0,0,1,1,1.0,12.5,0,0,-0.1999999999999993,85.0,10,0,16
19502,35.0,5.0,25843.0,3.0,1,1,1,1.0,11.9,0,0,-0.5999999999999996,42.0,7,2,30
18742,35.0,9.2,152750.0,2.0,1,1,1,1.0,17.04,0,1,4.539999999999999,54.0,1,2,8
22390,278.0,16.0,75258.0,2.0,1,0,1,1.0,25.29,0,0,9.189999999999998,71.0,11,2,21
9260,49.0,3.9,181543.0,3.0,0,0,1,1.0,12.56,0,0,-0.9399999999999996,51.3,4,4,19
16732,88.0,2.56,24925.0,3.0,1,0,0,2.0,15.91,0,0,2.338644558918237,16.1,2,6,3
20683,35.0,6.3,136742.0,3.0,1,1,1,1.0,15.0,0,1,2.5,42.0,4,3,11
20447,35.0,13.7,117438.0,3.0,1,1,1,1.0,13.56,1,0,1.0600000000000005,101.0,6,3,21
2571,278.0,20.0,107914.0,2.0,1,0,1,1.0,24.58,0,0,8.479999999999997,62.0,12,0,16
7282,85.0,3.72,24612.0,3.0,1,0,1,2.0,13.5,0,0,0.8000000000000007,23.0,9,5,30
21890,132.0,23.86,64355.0,3.0,0,0,1,2.0,17.2,0,0,0.5999999999999979,9.0,6,5,22
9791,49.0,6.11,137593.0,3.0,1,0,1,1.0,12.47,0,0,-1.0299999999999994,49.0,7,4,14
8123,49.0,11.4,5610.0,3.0,1,0,1,1.0,11.05,0,0,-2.45,103.2,8,5,27
2133,278.0,49.0,63786.0,3.0,0,1,0,1.0,18.56,0,0,2.4599999999999973,264.0,7,1,10
22598,278.0,15.0,105279.0,2.0,1,0,1,1.0,22.09,0,0,5.989999999999998,41.0,11,5,9
