,manufacturer,model,year,version,power(kW),odometer,quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note,user_id,trip_distance(km),month,weekday,day
10173,Volkswagen,Golf,2014,e-Golf,85.0,,0.7,Electricity,3.0,1,0,0,2.0,11.2,0,0,24.0,-1.5,,Tesla_Model_S_2015,6.0,6,0,5
2690,Hyundai,IONIQ,2018,Roadrunner,88.0,,1.83,Electricity,1.0,0,0,0,3.0,12.62,0,0,,,,Tesla_Model_S_2015,14.5,9,5,11
5770,Volkswagen,Golf,2015,e-Golf,85.0,48627.0,5.39,Electricity,2.0,0,1,0,2.0,15.9,0,1,75.0,3.200000000000001,,Tesla_Model_S_2015,89.0,4,6,1
29053,Volkswagen,Golf,2016,e-Golf,85.0,15046.0,11.66,Electricity,3.0,1,0,1,3.0,11.9,1,0,46.0,-0.7999999999999989,Restreichweite 89km = Total 187km,Tesla_Model_S_2015,98.0,6,1,13
26375,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,131300.0,7.3,Electricity,2.0,1,1,1,3.0,17.38,0,1,,4.879999999999999,,Tesla_Model_S_2015,42.0,1,4,25
6189,Volkswagen,Golf,2015,e-Golf,85.0,21407.0,12.44,Electricity,3.0,0,1,0,2.0,13.3,0,0,71.0,0.6000000000000014,,Tesla_Model_S_2015,86.0,9,5,9
24289,Hyundai,IONIQ,2018,electric,88.0,86624.0,13.52,Electricity,2.0,0,1,1,2.0,12.6,1,1,,,,Tesla_Model_S_2015,123.0,2,3,25
24648,Hyundai,IONIQ,2018,electric,88.0,58091.0,14.73,Electricity,3.0,0,1,1,2.0,13.4,1,0,,,,Tesla_Model_S_2015,117.0,4,3,30
31399,Tesla Motors,Model S,2015,Model S85,278.0,47824.0,44.0,Electricity,2.0,0,1,1,3.0,25.19,0,0,,9.09,,Tesla_Model_S_2015,171.0,1,0,8
2272,Tesla Motors,Model S,2017,75D,315.0,39505.0,11.3,Electricity,2.0,1,1,0,2.0,42.27,0,0,,27.47,,Tesla_Model_S_2015,45.0,2,1,5
28328,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,29198.0,5.6,Electricity,3.0,1,1,1,3.0,13.33,0,1,,0.8300000000000001,,Tesla_Model_S_2015,42.0,10,2,1
17388,Volkswagen,Golf,2016,e-Golf,85.0,62333.0,11.03,Electricity,3.0,1,0,1,3.0,10.5,0,0,43.0,-2.2,,Tesla_Model_S_2015,105.0,6,5,13
6590,Nissan,Leaf,2017,Black Edition,80.0,4530.0,15.22,Electricity,3.0,0,1,0,3.0,10.5,1,0,,-4.5,,Tesla_Model_S_2015,10.0,7,6,19
10152,Volkswagen,Golf,2014,e-Golf,85.0,,0.6,Electricity,3.0,1,0,0,2.0,15.5,0,0,14.0,2.8000000000000007,,Tesla_Model_S_2015,4.0,6,4,23
25474,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,174844.0,9.2,Electricity,2.0,1,1,1,3.0,14.84,0,1,,2.34,,Tesla_Model_S_2015,62.0,2,6,21
7786,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,151460.0,6.26,Electricity,2.0,1,0,1,3.0,14.95,0,0,,1.4499999999999993,"Noch 7 Balken, 35km Reichweite, innogy Ökostrom, 2,5h geladen, Ladeende 6,8°C, RRW 87km, 16B",Tesla_Model_S_2015,47.0,2,6,18
14063,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,26522.0,10.91,Electricity,3.0,1,0,1,3.0,12.25,0,0,,-1.25,"noch 6 Balken, 53 km Reichweite, Mainova Ökostrom Novanatur, 3,5h geladen, Ladeende 15,0°C",Tesla_Model_S_2015,94.2,7,5,21
3789,Hyundai,IONIQ,2018,Roadrunner,88.0,,12.9,Electricity,1.0,0,0,0,3.0,19.52,0,0,,,,Tesla_Model_S_2015,66.1,11,3,29
19634,Nissan,Leaf,2013,Leaf ZE0,80.0,,1.6,Electricity,1.0,0,0,0,3.0,13.2,0,0,,-1.8000000000000007,"0,5",Tesla_Model_S_2015,12.4,6,1,25
26976,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,100127.0,13.9,Electricity,3.0,0,0,1,3.0,12.3,0,0,,-0.1999999999999993,,Tesla_Model_S_2015,113.0,8,5,19
4788,Kia,Soul,2016,Kia Soul EV,60.0,,1.0,Electricity,3.0,1,0,0,3.0,15.34,0,0,,1.0399999999999991,,Tesla_Model_S_2015,20.0,10,6,30
2206,Tesla Motors,Model S,2017,75D,315.0,45742.0,61.2,Electricity,2.0,1,1,0,2.0,26.83,0,0,,12.029999999999998,,Tesla_Model_S_2015,168.0,4,3,18
28453,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,23018.0,5.6,Electricity,3.0,1,1,1,1.0,13.33,0,0,,0.8300000000000001,,Tesla_Model_S_2015,42.0,6,0,23
26440,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,128324.0,10.0,Electricity,2.0,1,1,1,3.0,18.87,0,1,,6.370000000000001,,Tesla_Model_S_2015,53.0,12,4,7
27382,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,79623.0,6.1,Electricity,2.0,1,1,1,3.0,14.52,0,1,,2.02,,Tesla_Model_S_2015,42.0,10,4,7
22909,Hyundai,IONIQ,2017,Premium,88.0,41077.0,17.5,Electricity,3.0,1,1,1,2.0,13.94,0,0,,,,Tesla_Model_S_2015,125.5,12,0,9
14273,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,8532.0,11.6,Electricity,3.0,1,0,1,3.0,11.89,0,0,,-1.6099999999999994,"noch 5 Balken, 49km Reichweite, Ökostrom P&amp;C, Temperatur bei Ladeende 8°C",Tesla_Model_S_2015,97.6,10,2,19
8276,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,126131.0,8.25,Electricity,2.0,1,0,1,3.0,13.41,0,0,,-0.0899999999999998,"Noch 6? Balken, 36km Reichweite, 3,5h geladen, Mainova Ökostrom Novanatur, Ladeende 5,3°C, Batterie 12-19°C, 14,3°C, RRW 101km, 100%",Tesla_Model_S_2015,61.5,2,3,16
2528,Tesla Motors,Model S,2017,75D,315.0,12750.0,17.3,Electricity,2.0,1,1,0,2.0,25.44,0,0,,10.64,,Tesla_Model_S_2015,67.0,3,5,31
19900,Nissan,Leaf,2013,Leaf ZE0,80.0,,0.7,Electricity,1.0,0,0,0,3.0,12.3,0,0,,-2.7,"0,2",Tesla_Model_S_2015,6.0,3,5,2
3037,Hyundai,IONIQ,2018,Roadrunner,88.0,,11.77,Electricity,1.0,0,0,0,3.0,13.9,0,0,,,,Tesla_Model_S_2015,84.7,3,1,3
923,Volkswagen,Golf,2018,e-Golf,100.0,,10.1,Electricity,2.0,0,1,0,3.0,11.35,1,0,,-1.5500000000000007,,Tesla_Model_S_2015,89.0,11,1,3
1869,Tesla Motors,Model S,2017,75D,315.0,80279.0,18.2,Electricity,3.0,1,1,0,2.0,28.95,0,0,,14.15,,Tesla_Model_S_2015,66.0,7,2,8
9732,Volkswagen,Golf,2014,e-Golf,85.0,,1.3,Electricity,3.0,1,1,1,2.0,7.1,0,0,50.0,-5.6,,Tesla_Model_S_2015,19.0,5,2,23
2444,Tesla Motors,Model S,2017,75D,315.0,22363.0,8.3,Electricity,3.0,1,1,0,2.0,29.64,0,0,,14.84,,Tesla_Model_S_2015,28.0,7,5,21
14214,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,13878.0,7.87,Electricity,2.0,1,0,1,3.0,16.23,0,0,,2.7300000000000004,"Reku bei -7,9°C merkbar reduziert, noch 9 Balken, 64km Reichweite, Mainova Ökostrom Novanatur, 4,5h geladen, erstmals mit Typ 2 - Kabel, Ladeende -8,9°C",Tesla_Model_S_2015,48.5,2,2,1
8658,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,101810.0,10.6,Electricity,2.0,1,0,1,3.0,14.9,0,0,,1.4000000000000004,"Noch 4B, 28km RRW, Batterie 10-15°C, 12°C, 5h geladen, Solarstrom P&amp;C, Ladeende 1,2°C, Batterie 10-17°C, 13°C, RRW 102km, 100%, 13.1. 14.1. 16.1.",Tesla_Model_S_2015,43.4,1,5,16
5772,Volkswagen,Golf,2015,e-Golf,85.0,48449.0,4.65,Electricity,2.0,0,0,1,2.0,18.1,0,1,63.0,5.400000000000002,,Tesla_Model_S_2015,33.0,4,6,1
6045,Volkswagen,Golf,2015,e-Golf,85.0,30738.0,5.28,Electricity,2.0,0,1,1,2.0,14.3,0,1,56.0,1.6000000000000014,,Tesla_Model_S_2015,48.0,11,4,24
4436,Kia,Soul,2016,Kia Soul EV,60.0,,18.0,Electricity,3.0,1,1,0,3.0,16.11,0,0,,1.8099999999999987,,Tesla_Model_S_2015,53.0,9,4,15
23821,Hyundai,IONIQ,2018,electric,88.0,124700.0,4.4,Electricity,3.0,0,1,1,2.0,12.7,1,1,,,,Tesla_Model_S_2015,111.0,3,2,30
8191,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,130689.0,6.76,Electricity,3.0,1,0,1,3.0,13.08,1,0,,-0.4199999999999999,"Noch 7 Balken, 43km Reichweite, Mainova Ökostrom Novanatur, 3,75h geladen, Ladeende 1,2°C, RRW 101km, Batterie 10-16°C, 12,5°C, 100%",Tesla_Model_S_2015,51.7,4,2,19
23370,Hyundai,IONIQ,2017,Premium,88.0,14524.0,3.04,Electricity,3.0,0,0,0,2.0,11.11,0,0,,,,Tesla_Model_S_2015,27.4,8,6,12
1213,Volkswagen,Golf,2018,e-Golf,100.0,,5.8,Electricity,2.0,0,1,0,3.0,14.19,1,0,,1.2899999999999991,,Tesla_Model_S_2015,97.0,1,4,24
200,Volkswagen,Golf,2018,e-Golf,100.0,,4.0,Electricity,1.0,0,1,0,3.0,16.26,1,0,,3.360000000000001,,Tesla_Model_S_2015,30.0,8,0,30
28096,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,40435.0,5.8,Electricity,2.0,1,1,1,3.0,13.49,0,0,,0.9900000000000002,,Tesla_Model_S_2015,43.0,3,1,17
11407,Volkswagen,Golf,2014,e-Golf,85.0,10646.0,2.74,Electricity,3.0,1,1,0,3.0,11.9,0,0,51.0,-0.7999999999999989,,Tesla_Model_S_2015,23.0,8,6,2
886,Volkswagen,Golf,2018,e-Golf,100.0,,22.0,Electricity,2.0,0,1,0,3.0,19.98,1,0,,7.08,,Tesla_Model_S_2015,23.0,1,0,11
5995,Volkswagen,Golf,2015,e-Golf,85.0,33860.0,16.2,Electricity,2.0,0,1,0,2.0,15.5,0,1,34.0,2.8000000000000007,,Tesla_Model_S_2015,45.0,12,5,16
14366,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,138.0,12.2,Electricity,3.0,1,0,1,3.0,14.19,0,0,,0.6899999999999995,"noch 5 Balken, entega Ökostrom Naturpur",Tesla_Model_S_2015,86.0,5,0,9
5949,Volkswagen,Golf,2015,e-Golf,85.0,36661.0,10.79,Electricity,2.0,0,0,1,3.0,15.9,0,1,61.0,3.200000000000001,,Tesla_Model_S_2015,38.0,1,5,6
11184,Volkswagen,Golf,2014,e-Golf,85.0,15930.0,5.29,Electricity,2.0,1,1,1,2.0,14.7,0,1,25.0,2.0,,Tesla_Model_S_2015,36.0,11,5,14
26103,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,145534.0,16.6,Electricity,3.0,1,1,1,3.0,14.31,0,0,,1.8100000000000005,,Tesla_Model_S_2015,116.0,9,6,8
5935,Volkswagen,Golf,2015,e-Golf,85.0,37718.0,4.09,Electricity,2.0,1,0,0,2.0,25.0,0,1,20.0,12.3,,Tesla_Model_S_2015,2.0,1,5,13
29030,Volkswagen,Golf,2016,e-Golf,85.0,16633.0,13.97,Electricity,3.0,1,0,1,2.0,11.0,1,0,49.0,-1.6999999999999993,Restreichweite 68km = Total 195km,Tesla_Model_S_2015,127.0,7,4,7
2038,Tesla Motors,Model S,2017,75D,315.0,63875.0,11.5,Electricity,3.0,1,1,0,2.0,32.81,0,0,,18.01,,Tesla_Model_S_2015,67.0,11,6,17
20013,Nissan,Leaf,2013,Leaf ZE0,80.0,,4.8,Electricity,3.0,0,0,0,2.0,15.3,0,0,,0.3000000000000007,"0,5",Tesla_Model_S_2015,31.3,1,1,15
1227,Volkswagen,Golf,2018,e-Golf,100.0,,11.5,Electricity,2.0,0,1,0,3.0,18.09,1,0,,5.19,,Tesla_Model_S_2015,90.0,1,3,16
24060,Hyundai,IONIQ,2018,electric,88.0,109193.0,2.23,Electricity,3.0,0,1,1,2.0,12.1,1,1,,,,Tesla_Model_S_2015,140.0,10,0,18
11539,Volkswagen,Golf,2014,e-Golf,85.0,5561.0,18.07,Electricity,3.0,0,0,1,2.0,13.9,0,0,66.0,1.200000000000001,,Tesla_Model_S_2015,130.0,5,3,21
23208,Hyundai,IONIQ,2017,Premium,88.0,22400.0,18.38,Electricity,3.0,1,1,1,2.0,15.03,0,0,,,,Tesla_Model_S_2015,122.3,12,0,17
4442,Kia,Soul,2016,Kia Soul EV,60.0,,3.3,Electricity,3.0,1,1,1,3.0,16.11,0,0,,1.8099999999999987,,Tesla_Model_S_2015,3.0,9,5,9
1811,Tesla Motors,Model S,2017,75D,315.0,86143.0,31.9,Electricity,3.0,1,1,0,2.0,30.38,0,0,,15.579999999999998,,Tesla_Model_S_2015,105.0,10,1,6
17013,Volkswagen,Golf,2016,e-Golf,85.0,85199.0,3.97,Electricity,2.0,1,1,1,3.0,10.2,0,0,44.0,-2.5,7.5°C. Reichweite 80% = 137km Strecke leicht abwärts.,Tesla_Model_S_2015,39.0,3,2,9
2073,Tesla Motors,Model S,2017,75D,315.0,60370.0,8.5,Electricity,3.0,1,1,0,2.0,28.64,0,0,,13.84,,Tesla_Model_S_2015,77.0,10,2,9
26578,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,121508.0,5.3,Electricity,3.0,1,1,1,1.0,12.62,0,0,,0.1199999999999992,,Tesla_Model_S_2015,42.0,8,1,28
30354,Mercedes-Benz,B-Klasse,2015,B250e,132.0,26216.0,16.51,Electricity,3.0,1,1,0,1.0,20.9,0,1,,4.299999999999997,,Tesla_Model_S_2015,79.0,10,6,8
3059,Hyundai,IONIQ,2018,Roadrunner,88.0,,14.8,Electricity,1.0,0,0,0,3.0,16.99,0,0,,,,Tesla_Model_S_2015,87.1,1,2,22
19001,Nissan,Leaf,2013,Leaf ZE0,80.0,,17.0,Electricity,1.0,0,0,0,3.0,16.88,0,0,,1.879999999999999,"0,7",Tesla_Model_S_2015,31.4,2,3,20
23723,Hyundai,IONIQ,2017,Premium,88.0,5403.0,8.51,Electricity,3.0,0,0,0,2.0,15.11,0,0,,,,Tesla_Model_S_2015,56.3,1,1,16
8258,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,127170.0,6.75,Electricity,2.0,1,0,1,3.0,13.66,0,0,,0.1600000000000001,"Noch 8 Balken, 49km Reichweite, 4,5h geladen, Mainova Ökostrom Novanatur, Ladeende 8,4°C, Batterie 13-17°C, 15,3°C, RRW 108km, 100%",Tesla_Model_S_2015,49.4,3,3,9
30831,Tesla Motors,Model S,2015,Model S85,278.0,117382.0,50.0,Electricity,3.0,1,1,1,3.0,21.93,0,0,,5.829999999999998,,Tesla_Model_S_2015,228.0,6,5,13
14624,Kia,Soul,2016,Kia Soul EV,60.0,,10.0,Electricity,3.0,1,0,1,3.0,13.06,1,0,,-1.2400000000000002,,Tesla_Model_S_2015,88.0,6,5,26
4131,Kia,Soul,2016,Kia Soul EV,60.0,,6.2,Electricity,3.0,1,1,0,3.0,10.12,1,0,,-4.1800000000000015,,Tesla_Model_S_2015,114.0,6,2,20
6241,Volkswagen,Golf,2015,e-Golf,85.0,18243.0,11.57,Electricity,3.0,0,1,0,3.0,11.7,1,0,80.0,-1.0,,Tesla_Model_S_2015,112.0,8,4,18
20041,Nissan,Leaf,2013,Leaf ZE0,80.0,,5.1,Electricity,3.0,0,0,0,2.0,16.3,0,0,,1.3000000000000007,"0,5",Tesla_Model_S_2015,31.5,1,3,3
28602,Volkswagen,Golf,2016,e-Golf,85.0,47648.0,8.26,Electricity,3.0,1,0,1,3.0,14.5,0,0,40.0,1.8000000000000007,Restreichweite 86km = Total 142km,Tesla_Model_S_2015,57.0,5,4,10
2904,Hyundai,IONIQ,2018,Roadrunner,88.0,,0.81,Electricity,1.0,0,0,0,3.0,11.74,0,0,,,,Tesla_Model_S_2015,6.9,10,1,6
533,Volkswagen,Golf,2018,e-Golf,100.0,,13.0,Electricity,1.0,0,1,0,3.0,15.57,1,0,,2.67,,Tesla_Model_S_2015,79.0,12,2,1
26560,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,122276.0,4.9,Electricity,3.0,1,1,1,3.0,11.67,0,0,,-0.8300000000000001,,Tesla_Model_S_2015,42.0,9,3,6
2861,Hyundai,IONIQ,2018,Roadrunner,88.0,,2.23,Electricity,1.0,0,0,0,3.0,11.04,0,0,,,,Tesla_Model_S_2015,20.2,5,4,28
7996,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,141408.0,9.41,Electricity,3.0,1,1,1,3.0,11.24,0,0,,-2.26,"Noch 3 Balken, 20km Reichweite, Batterie 25-29°C, 26,3°C, 26,0%, Mainova Ökostrom Novanatur, 4,5h geladen, Ladeende 17,9°C, RRW 112km, Batterie 26-31°C, 27,8°C, 99,5%",Tesla_Model_S_2015,58.6,8,5,19
2652,Hyundai,IONIQ,2018,Roadrunner,88.0,,20.49,Electricity,1.0,0,0,0,3.0,14.73,0,0,,,,Tesla_Model_S_2015,139.1,10,3,7
6607,Nissan,Leaf,2017,Black Edition,80.0,45335.0,1.89,Electricity,3.0,0,1,0,3.0,13.3,1,0,,-1.6999999999999993,,Tesla_Model_S_2015,10.0,7,3,9
19639,Nissan,Leaf,2013,Leaf ZE0,80.0,,4.4,Electricity,1.0,0,0,0,3.0,14.2,0,0,,-0.8000000000000007,"0,9",Tesla_Model_S_2015,30.8,6,0,24
23852,Hyundai,IONIQ,2018,electric,88.0,122628.0,5.8,Electricity,2.0,0,1,1,2.0,13.3,1,1,,,,Tesla_Model_S_2015,7.0,3,2,9
31682,Tesla Motors,Model S,2015,Model S85,278.0,15413.0,24.0,Electricity,3.0,1,0,1,3.0,21.66,0,0,,5.559999999999999,,Tesla_Model_S_2015,151.0,10,3,6
8651,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,102189.0,9.4,Electricity,2.0,1,1,0,3.0,13.6,0,0,,0.0999999999999996,"Noch 6 Balken, 47km Reichweite, 5h geladen, Mainova Ökostrom Novanatur, Ladeende 2,4°C, Batterie 10-15°C, 12,1°C, RRW 134km, 100%",Tesla_Model_S_2015,69.1,1,1,26
14593,Kia,Soul,2016,Kia Soul EV,60.0,,11.3,Electricity,3.0,1,0,0,3.0,13.66,1,0,,-0.6400000000000006,,Tesla_Model_S_2015,46.0,8,1,31
7303,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,173387.0,4.0,Electricity,2.0,1,0,1,3.0,14.68,0,0,,1.1799999999999995,"Noch 9 Balken, 44km Reichweite, entega Ökostrom, 1h35m geladen, Ladeende 3,6°C, RRW 76km, 15B",Tesla_Model_S_2015,35.2,11,4,23
28365,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,27288.0,9.7,Electricity,3.0,1,0,1,3.0,13.86,0,0,,1.3599999999999994,,Tesla_Model_S_2015,70.0,8,0,25
3019,Hyundai,IONIQ,2018,Roadrunner,88.0,,3.45,Electricity,1.0,0,0,0,3.0,17.08,0,0,,,,Tesla_Model_S_2015,20.2,3,5,21
9902,Volkswagen,Golf,2014,e-Golf,85.0,,3.6,Electricity,2.0,1,1,1,2.0,17.8,0,0,35.0,5.100000000000001,,Tesla_Model_S_2015,20.0,11,2,8
8354,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,121819.0,5.67,Electricity,2.0,1,0,1,3.0,,0,0,,,"Noch 9 Balken, 57km Reichweite, 2,25h geladen, Mainova Ökostrom Novanatur, Ladeende 1,0°C, Batterie 11-19°C, 14,8°C, RRW 106km, 98,0%",Tesla_Model_S_2015,23.2,11,0,14
31316,Tesla Motors,Model S,2015,Model S85,278.0,58466.0,34.0,Electricity,3.0,1,0,1,3.0,20.27,0,0,,4.169999999999998,,Tesla_Model_S_2015,73.0,5,2,30
29506,Mercedes-Benz,B-Klasse,2015,B250e,132.0,89670.0,18.3,Electricity,3.0,1,1,1,2.0,24.29,0,0,,7.689999999999998,,Tesla_Model_S_2015,93.0,4,1,27
3692,Hyundai,IONIQ,2018,Roadrunner,88.0,,18.5,Electricity,1.0,0,0,0,3.0,20.0,0,0,,,,Tesla_Model_S_2015,92.5,1,5,19
27926,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,50536.0,12.0,Electricity,3.0,1,0,1,3.0,13.04,1,0,,0.5399999999999991,,Tesla_Model_S_2015,92.0,8,3,13
27878,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,53223.0,5.7,Electricity,3.0,1,1,1,3.0,13.9,0,1,,1.4000000000000004,,Tesla_Model_S_2015,41.0,9,2,23
26915,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,103370.0,5.4,Electricity,2.0,1,1,1,3.0,12.56,0,1,,0.0600000000000005,,Tesla_Model_S_2015,43.0,10,0,16
2568,Tesla Motors,Model S,2017,75D,315.0,8728.0,1.1,Electricity,2.0,1,1,0,2.0,29.13,0,0,,14.329999999999998,"newmotion rechnung 25,3kWh",Tesla_Model_S_2015,86.0,2,0,19
