,manufacturer,model,year,version,power(kW),odometer,quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note,user_id,trip_distance(km),month,weekday,day
18824,Nissan,Leaf,2013,Leaf ZE0,80.0,,2.7,Electricity,1.0,0,0,0,3.0,11.5,0,0,,-3.5,"0,7",Tesla_Model_S_2015,23.6,8,3,6
3328,Hyundai,IONIQ,2018,Roadrunner,88.0,,10.85,Electricity,1.0,0,0,0,3.0,12.65,0,0,,,,Tesla_Model_S_2015,85.8,7,2,31
11266,Volkswagen,Golf,2014,e-Golf,85.0,,3.78,Electricity,3.0,1,1,1,3.0,18.78,0,0,52.0,6.080000000000002,,Tesla_Model_S_2015,20.0,10,1,6
18834,Nissan,Leaf,2013,Leaf ZE0,80.0,,2.6,Electricity,1.0,0,0,0,3.0,12.3,0,0,,-2.7,"1,1",Tesla_Model_S_2015,20.8,7,4,31
27509,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,73267.0,4.7,Electricity,2.0,1,1,1,1.0,11.19,0,0,,-1.3100000000000005,,Tesla_Model_S_2015,42.0,6,2,29
29668,Mercedes-Benz,B-Klasse,2015,B250e,132.0,80539.0,13.5,Electricity,3.0,1,0,0,2.0,16.44,0,0,,-0.1600000000000001,,Tesla_Model_S_2015,57.0,7,4,31
23075,Hyundai,IONIQ,2017,Premium,88.0,30580.0,1.67,Electricity,3.0,1,0,0,2.0,10.38,0,0,,,,Tesla_Model_S_2015,16.1,5,6,19
23696,Hyundai,IONIQ,2017,Premium,88.0,5980.0,16.43,Electricity,3.0,0,0,0,2.0,14.38,0,0,,,,Tesla_Model_S_2015,114.3,1,5,27
17496,Volkswagen,Golf,2016,e-Golf,85.0,55150.0,11.72,Electricity,2.0,1,0,1,3.0,17.5,0,0,41.0,4.800000000000001,Restreichweite 54km = Total 121km,Tesla_Model_S_2015,67.0,10,3,31
9115,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,68788.0,8.34,Electricity,3.0,1,1,1,3.0,10.99,0,0,,-2.51,"Noch 8 Balken, 74km Reichweite, 3,75h geladen, Mainova Ökostrom Novanatur, Ladeende 19,4 °C, RRW 155km",Tesla_Model_S_2015,75.9,8,6,3
26752,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,111892.0,8.5,Electricity,2.0,1,1,1,3.0,15.45,0,1,,2.95,,Tesla_Model_S_2015,55.0,3,2,28
7148,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,179847.0,7.3,Electricity,3.0,1,0,1,1.0,14.23,0,0,,0.7300000000000004,"Noch 6 Balken, 38km Reichweite, Mainova Ökostrom Novanatur, 4,25h geladen, Ladeende 10,1°C, RRW 104km, 100%, Batterie 19-23°C, 20,3°C, Landstraße 90-95 km/h",Tesla_Model_S_2015,51.3,4,0,1
8913,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,83302.0,12.01,Electricity,3.0,1,1,1,3.0,12.08,0,0,,-1.42,"Noch 3 Balken, 23km Reichweite, 5,25h geladen, Mainova Ökostrom Novanatur, Ladeende 16,2°C, RRW 131km, Batterie 22-27°C, 23,9°C, 100%, Autobahn 80km/h",Tesla_Model_S_2015,99.4,4,6,12
11087,Volkswagen,Golf,2014,e-Golf,85.0,,2.14,Electricity,2.0,1,1,1,2.0,10.7,0,0,41.0,-2.0,,Tesla_Model_S_2015,20.0,1,3,7
28026,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,44445.0,13.1,Electricity,3.0,1,1,1,3.0,13.1,0,0,,0.5999999999999996,,Tesla_Model_S_2015,100.0,5,3,7
7016,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,185509.0,7.76,Electricity,3.0,0,1,0,3.0,12.41,1,0,,-1.09,"Noch 3 Balken, 18km Reichweite, 27,5%, Batterie 30-41°C, 36,6°C, Ökostrom, 5,00kWh in 23m21s geladen, 67,5%, 1,65kWh in 16m47s geladen, 77,5%, 1,11kWh in 14m0s geladen, 83,0%,<br /> Batterie 18-36°C, 28,7°C, Ladeende  35,4°C, RRW 83km, 14B, AC1, 431müNN",Tesla_Model_S_2015,33.6,6,2,19
27984,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,47148.0,9.6,Electricity,3.0,0,1,1,1.0,15.74,0,0,,3.24,Rückfahr Motorworld; Ziel 100 m höher,Tesla_Model_S_2015,61.0,6,0,22
14511,Kia,Soul,2016,Kia Soul EV,60.0,,31.0,Electricity,2.0,1,0,0,3.0,24.41,1,0,,10.11,,Tesla_Model_S_2015,127.0,12,5,25
10943,Volkswagen,Golf,2014,e-Golf,85.0,,0.12,Electricity,2.0,1,0,0,2.0,12.0,0,0,14.0,-0.6999999999999993,,Tesla_Model_S_2015,1.0,3,1,22
19687,Nissan,Leaf,2013,Leaf ZE0,80.0,,3.0,Electricity,1.0,0,0,0,3.0,13.4,0,0,,-1.5999999999999996,"1,2",Tesla_Model_S_2015,22.8,6,6,2
22974,Hyundai,IONIQ,2017,Premium,88.0,36705.0,24.58,Electricity,3.0,1,1,1,2.0,12.12,0,0,,,,Tesla_Model_S_2015,202.8,9,5,28
30436,Mercedes-Benz,B-Klasse,2015,B250e,132.0,19272.0,4.56,Electricity,2.0,1,1,1,2.0,16.21,0,0,,-0.3900000000000005,,Tesla_Model_S_2015,64.0,6,3,29
25620,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,168679.0,6.8,Electricity,2.0,1,1,1,3.0,16.19,0,0,,3.690000000000001,,Tesla_Model_S_2015,42.0,11,1,3
5167,Volkswagen,Golf,2015,e-Golf,85.0,90027.0,12.19,Electricity,3.0,0,0,1,2.0,14.0,0,0,68.0,1.3000000000000007,,Tesla_Model_S_2015,62.0,4,1,23
30446,Mercedes-Benz,B-Klasse,2015,B250e,132.0,18637.0,33.5,Electricity,2.0,1,1,1,2.0,13.7,0,0,,-2.900000000000002,,Tesla_Model_S_2015,205.0,6,6,11
10196,Volkswagen,Golf,2014,e-Golf,85.0,,3.6,Electricity,3.0,1,0,1,2.0,16.5,0,0,45.0,3.8000000000000007,,Tesla_Model_S_2015,22.0,5,2,24
17261,Volkswagen,Golf,2016,e-Golf,85.0,71598.0,16.66,Electricity,2.0,1,1,1,3.0,64.0,1,0,14.0,51.3,"15.5°C, Restreichweite 11km = Total 131km",Tesla_Model_S_2015,119.0,3,0,29
9493,Volkswagen,Golf,2014,e-Golf,85.0,,1.1,Electricity,2.0,1,0,0,2.0,13.7,0,0,27.0,1.0,,Tesla_Model_S_2015,8.0,10,6,14
3799,Hyundai,IONIQ,2018,Roadrunner,88.0,,13.4,Electricity,1.0,0,0,0,3.0,16.36,0,0,,,,Tesla_Model_S_2015,81.9,11,5,24
9269,Volkswagen,Golf,2014,e-Golf,85.0,,2.0,Electricity,2.0,1,0,1,2.0,8.8,0,0,42.0,-3.899999999999999,,Tesla_Model_S_2015,23.0,2,4,22
2184,Tesla Motors,Model S,2017,75D,315.0,48182.0,34.3,Electricity,3.0,1,1,0,2.0,26.94,0,0,,12.14,,Tesla_Model_S_2015,7.0,5,3,9
24102,Hyundai,IONIQ,2018,electric,88.0,104952.0,16.57,Electricity,3.0,0,1,1,2.0,10.8,1,0,,,,Tesla_Model_S_2015,121.0,9,3,2
3242,Hyundai,IONIQ,2018,Roadrunner,88.0,,16.86,Electricity,1.0,0,0,0,3.0,15.85,0,0,,,,Tesla_Model_S_2015,106.4,9,2,18
1133,Volkswagen,Golf,2018,e-Golf,100.0,,17.0,Electricity,2.0,0,1,0,3.0,17.71,1,0,,4.8100000000000005,,Tesla_Model_S_2015,90.0,4,3,23
28916,Volkswagen,Golf,2016,e-Golf,85.0,23932.0,6.88,Electricity,2.0,1,0,1,3.0,17.2,0,1,44.0,4.5,8°C. Restreichweite 97km = Total 137km,Tesla_Model_S_2015,40.0,1,4,5
23313,Hyundai,IONIQ,2017,Premium,88.0,16123.0,17.72,Electricity,3.0,1,1,1,2.0,13.59,0,0,,,,Tesla_Model_S_2015,130.4,9,3,13
24554,Hyundai,IONIQ,2018,electric,88.0,65465.0,15.45,Electricity,3.0,0,1,1,2.0,11.8,1,0,,,,Tesla_Model_S_2015,121.0,7,4,17
14368,Kia,Soul,2016,Kia Soul EV,60.0,,17.4,Electricity,2.0,1,0,0,3.0,,1,0,,,,Tesla_Model_S_2015,186.0,6,3,23
22619,Hyundai,IONIQ,2017,Premium,88.0,54505.0,12.38,Electricity,3.0,1,1,1,2.0,13.74,0,0,,,,Tesla_Model_S_2015,90.1,2,1,16
8694,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,99752.0,6.79,Electricity,2.0,1,0,1,3.0,13.45,0,0,,-0.0500000000000007,"Noch 9 Balken, 60km Reichweite, 3,5h geladen, Mainova Ökostrom Novanatur, Ladeende 4,2°C, Batterie 10-17°C, 12°C, RRW 117km, 99,5%",Tesla_Model_S_2015,50.5,12,1,15
26807,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,109016.0,6.8,Electricity,2.0,1,1,1,1.0,15.81,0,1,,3.3100000000000005,,Tesla_Model_S_2015,43.0,2,4,16
8737,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,96859.0,6.92,Electricity,3.0,1,0,1,3.0,13.21,0,0,,-0.2899999999999991,"Noch 8 Balken, 65km Reichweite, Mainova Ökostrom Novanatur, 3,75h geladen, Ladeende 9,3°C, Batterie 13-18°C, 14°C, RRW 133km, 100%",Tesla_Model_S_2015,52.4,10,0,19
30168,Mercedes-Benz,B-Klasse,2015,B250e,132.0,41099.0,24.5,Electricity,3.0,1,1,1,3.0,14.7,0,0,,-1.900000000000002,,Tesla_Model_S_2015,66.0,6,4,8
11125,Volkswagen,Golf,2014,e-Golf,85.0,,1.1,Electricity,2.0,1,0,0,3.0,13.8,0,0,43.0,1.1000000000000014,,Tesla_Model_S_2015,8.0,12,2,16
23288,Hyundai,IONIQ,2017,Premium,88.0,16850.0,16.5,Electricity,3.0,0,0,0,2.0,12.35,0,0,,,,Tesla_Model_S_2015,133.6,9,1,25
24830,Hyundai,IONIQ,2018,electric,88.0,45034.0,14.4,Electricity,2.0,0,0,1,2.0,18.2,1,1,,,,Tesla_Model_S_2015,15.0,1,6,5
27389,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,79280.0,12.2,Electricity,2.0,1,0,1,3.0,12.71,0,0,,0.2100000000000008,,Tesla_Model_S_2015,96.0,10,1,4
27852,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,54768.0,6.4,Electricity,3.0,1,1,1,1.0,15.24,0,1,,2.74,,Tesla_Model_S_2015,42.0,10,2,14
8175,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,131528.0,3.78,Electricity,3.0,0,1,1,2.0,11.6,0,0,,-1.9000000000000004,"Noch 3 Balken, 21km Reichweite, Batterie 23-30°C, 26,6°C, 27,5%, Ökostrom, 1,25h geladen, Ladeende 12,8°C, RRW 57km, Batterie 24-31°C, 27,4°C, 58,0%, Landstraße 70km/h",Tesla_Model_S_2015,83.2,4,5,29
3230,Hyundai,IONIQ,2018,Roadrunner,88.0,,4.41,Electricity,1.0,0,0,0,3.0,12.15,0,0,,,,Tesla_Model_S_2015,36.3,9,6,22
10257,Volkswagen,Golf,2014,e-Golf,85.0,45931.0,3.4,Electricity,2.0,1,1,1,2.0,17.0,0,0,54.0,4.300000000000001,,Tesla_Model_S_2015,20.0,4,4,21
4023,Kia,Soul,2016,Kia Soul EV,60.0,,20.8,Electricity,3.0,0,1,1,3.0,17.72,1,0,,3.419999999999998,,Tesla_Model_S_2015,22.0,10,0,8
19790,Nissan,Leaf,2013,Leaf ZE0,80.0,,0.1,Electricity,1.0,0,0,0,3.0,14.8,0,0,,-0.1999999999999993,,Tesla_Model_S_2015,0.7,4,3,18
4673,Kia,Soul,2016,Kia Soul EV,60.0,,4.37,Electricity,2.0,0,1,1,3.0,20.36,0,0,,6.059999999999999,,Tesla_Model_S_2015,16.0,1,1,24
23345,Hyundai,IONIQ,2017,Premium,88.0,15198.0,15.2,Electricity,3.0,1,1,1,2.0,12.43,0,0,,,,Tesla_Model_S_2015,122.3,8,1,28
14727,Kia,Soul,2016,Kia Soul EV,60.0,,9.18,Electricity,2.0,1,0,1,3.0,20.96,1,0,,6.66,,Tesla_Model_S_2015,53.0,2,1,23
31183,Tesla Motors,Model S,2015,Model S85,278.0,76582.0,21.0,Electricity,2.0,0,0,1,3.0,27.54,0,0,,11.439999999999998,,Tesla_Model_S_2015,78.0,12,5,15
26481,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,126224.0,7.6,Electricity,2.0,1,1,1,3.0,17.67,0,1,,5.170000000000002,,Tesla_Model_S_2015,43.0,11,4,9
3148,Hyundai,IONIQ,2018,Roadrunner,88.0,,5.19,Electricity,1.0,0,0,0,3.0,14.91,0,0,,,,Tesla_Model_S_2015,34.8,11,1,12
17415,Volkswagen,Golf,2016,e-Golf,85.0,59890.0,12.46,Electricity,2.0,1,0,1,3.0,18.6,0,0,43.0,5.900000000000002,Restreichweite 50km = Total 117km,Tesla_Model_S_2015,67.0,2,3,27
13758,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,51401.0,12.46,Electricity,3.0,1,0,1,3.0,12.06,0,0,,-1.4399999999999995,"Noch 4 Balken, 34km Reichweite, Mainova Ökostrom Novanatur, 5h geladen, Ladeende 11,3°C",Tesla_Model_S_2015,103.3,10,2,16
24621,Hyundai,IONIQ,2018,electric,88.0,60062.0,8.2,Electricity,3.0,0,1,0,2.0,11.2,1,0,,,,Tesla_Model_S_2015,24.0,5,3,28
29010,Volkswagen,Golf,2016,e-Golf,85.0,18180.0,10.9,Electricity,3.0,1,1,1,3.0,11.6,1,0,43.0,-1.0999999999999996,Sonnig und 31°C. Restreichweite 96km = Total 190km!,Tesla_Model_S_2015,94.0,8,1,29
19758,Nissan,Leaf,2013,Leaf ZE0,80.0,,0.3,Electricity,1.0,0,0,0,3.0,11.3,0,0,,-3.6999999999999993,"0,1",Tesla_Model_S_2015,2.8,5,6,5
29813,Mercedes-Benz,B-Klasse,2015,B250e,132.0,69893.0,8.16,Electricity,3.0,1,0,1,2.0,15.2,0,0,,-1.400000000000002,,Tesla_Model_S_2015,50.0,9,5,14
4611,Kia,Soul,2016,Kia Soul EV,60.0,,2.57,Electricity,2.0,1,0,0,3.0,19.65,0,0,,5.349999999999998,,Tesla_Model_S_2015,58.0,3,5,11
5511,Volkswagen,Golf,2015,e-Golf,85.0,68062.0,10.88,Electricity,3.0,0,1,0,3.0,12.1,0,0,73.0,-0.5999999999999996,,Tesla_Model_S_2015,107.0,8,2,22
26473,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,126638.0,17.7,Electricity,2.0,1,1,1,3.0,17.7,0,1,,5.199999999999999,,Tesla_Model_S_2015,100.0,11,3,15
22730,Hyundai,IONIQ,2017,Premium,88.0,49783.0,1.88,Electricity,3.0,1,0,0,2.0,9.74,0,0,,,,Tesla_Model_S_2015,19.3,9,6,20
1285,Volkswagen,Golf,2018,e-Golf,100.0,,28.8,Electricity,2.0,0,1,0,3.0,19.18,1,0,,6.279999999999999,,Tesla_Model_S_2015,136.0,11,1,19
13549,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,67579.0,11.1,Electricity,3.0,1,0,1,3.0,10.64,0,0,,-2.8599999999999994,"Noch 5 Balken, 47km Reichweite, 4h geladen, Solarstrom P&amp;C, Ladeende 24,6°C, RRW 155km, 13.1. 1.2. 24.2. 14.5. 30.5. 18.7.",Tesla_Model_S_2015,104.3,7,4,18
4568,Kia,Soul,2016,Kia Soul EV,60.0,,4.8,Electricity,2.0,1,1,0,3.0,19.83,0,0,,5.529999999999998,,Tesla_Model_S_2015,67.0,4,6,16
17956,Mitsubishi,i-MiEV,2014,i-MiEV,49.0,46388.0,7.33,Electricity,3.0,1,1,0,3.0,12.74,0,0,,0.2400000000000002,"Noch 9 Balken, 65km Reichweite, Batterie 26-34°C, 30,6°C, 55,5%, 2h39m geladen, Batterie 26-32°C, 29,6°C, Ladeende 17,5°C, RRW 129km, 100%",Tesla_Model_S_2015,2.8,8,6,29
29815,Mercedes-Benz,B-Klasse,2015,B250e,132.0,69780.0,12.08,Electricity,3.0,1,0,1,3.0,18.3,0,0,,1.6999999999999993,,Tesla_Model_S_2015,71.0,9,1,10
27808,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,57249.0,6.1,Electricity,2.0,1,1,1,3.0,14.52,0,1,,2.02,,Tesla_Model_S_2015,42.0,11,0,16
1430,Tesla Motors,Model S,2017,75D,315.0,125416.0,16.07,Electricity,3.0,1,1,0,2.0,24.27,0,0,,9.47,,Tesla_Model_S_2015,8.0,6,4,17
7596,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,160454.0,3.9,Electricity,3.0,1,1,0,1.0,12.53,0,0,,-0.9700000000000006,"Noch 5 Balken, 24km Reichweite, 36%, Ökostrom, 13m21s geladen, Ladeende 23,4°C, 73%, RRW 53km, 12B, Autobahn 90km/h",Tesla_Model_S_2015,56.8,6,0,25
10700,Volkswagen,Golf,2014,e-Golf,85.0,29777.0,0.26,Electricity,3.0,1,0,0,3.0,13.2,0,0,21.0,0.5,,Tesla_Model_S_2015,2.0,7,0,18
309,Volkswagen,Golf,2018,e-Golf,100.0,,30.0,Electricity,1.0,0,1,0,3.0,14.63,1,0,,1.7300000000000004,,Tesla_Model_S_2015,205.0,5,0,23
7847,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,148429.0,6.88,Electricity,2.0,1,0,1,3.0,14.07,0,0,,0.5700000000000003,"Noch 7 Balken, 40km Reichweite, Mainova Ökostrom Novanatur, 4,75h geladen, Ladeende -0,3°C, RRW 97km, Batterie 8-13°C, 10,3°C, 100%",Tesla_Model_S_2015,48.9,12,1,12
2369,Tesla Motors,Model S,2017,75D,315.0,30034.0,17.1,Electricity,3.0,1,1,0,2.0,25.04,0,0,,10.239999999999998,,Tesla_Model_S_2015,216.0,10,2,3
11478,Volkswagen,Golf,2014,e-Golf,85.0,,1.7,Electricity,3.0,1,1,1,2.0,8.5,0,0,45.0,-4.199999999999999,,Tesla_Model_S_2015,20.0,6,3,18
29846,Mercedes-Benz,B-Klasse,2015,B250e,132.0,67198.0,10.61,Electricity,3.0,1,1,1,3.0,17.6,0,0,,1.0,,Tesla_Model_S_2015,160.0,7,1,30
10316,Volkswagen,Golf,2014,e-Golf,85.0,,0.5,Electricity,2.0,1,0,0,2.0,15.5,0,0,15.0,2.8000000000000007,,Tesla_Model_S_2015,3.0,3,1,21
389,Volkswagen,Golf,2018,e-Golf,100.0,,14.0,Electricity,1.0,0,1,0,3.0,14.52,1,0,,1.6199999999999992,,Tesla_Model_S_2015,116.0,3,4,18
26042,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,148507.0,6.4,Electricity,3.0,1,1,1,3.0,14.88,0,0,,2.380000000000001,,Tesla_Model_S_2015,43.0,10,4,25
8262,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,126975.0,12.51,Electricity,2.0,1,0,1,3.0,13.18,0,0,,-0.3200000000000003,"Noch 0 Balken, 0km Reichweite, Batterie 16-21°C, 18,6°C, 5,0%, Schildkröte seit 6,1km, 6h geladen, Ladeende 4,8°C, Batterie 12-19°C, 16,3°C, RRW 111km, 100%",Tesla_Model_S_2015,94.9,3,6,5
14562,Kia,Soul,2016,Kia Soul EV,60.0,,18.4,Electricity,3.0,1,0,0,3.0,15.04,1,0,,0.7399999999999984,,Tesla_Model_S_2015,99.0,10,2,6
13586,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,64507.0,5.0,Electricity,3.0,1,0,1,2.0,11.25,0,0,,-2.25,"Noch 6 Balken, 60km Reichweite, 1h 40m geladen, Ladeende 21,5°C, RRW 110km, 12 Balken, (6,7% Kernkraft, 24,2% Fossile, 69,1% Erneuerbare. 219 g/kWh CO2-Emission, 0,0002 g/kWh radioaktiver Abfall) [1095g]",Tesla_Model_S_2015,72.4,5,0,26
26328,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,133604.0,7.0,Electricity,2.0,1,1,1,1.0,16.67,0,1,,4.170000000000002,,Tesla_Model_S_2015,42.0,2,2,27
5787,Volkswagen,Golf,2015,e-Golf,85.0,47727.0,3.5,Electricity,2.0,0,0,1,2.0,14.8,0,1,43.0,2.1000000000000014,,Tesla_Model_S_2015,42.0,3,4,23
27279,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,84834.0,8.0,Electricity,2.0,1,1,1,1.0,19.05,0,1,,6.550000000000001,,Tesla_Model_S_2015,42.0,12,1,20
27321,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,82831.0,7.7,Electricity,2.0,1,1,1,3.0,17.5,0,1,,5.0,,Tesla_Model_S_2015,44.0,11,2,23
22806,Hyundai,IONIQ,2017,Premium,88.0,46606.0,10.4,Electricity,3.0,1,1,1,2.0,11.54,0,0,,,,Tesla_Model_S_2015,90.1,5,0,18
15449,Kia,Soul,2016,Kia Soul EV,60.0,,9.7,Electricity,2.0,0,0,1,3.0,18.18,1,0,,3.879999999999999,,Tesla_Model_S_2015,62.0,3,6,3
30898,Tesla Motors,Model S,2015,Model S85,278.0,110383.0,43.0,Electricity,2.0,1,0,1,3.0,25.86,0,0,,9.759999999999998,,Tesla_Model_S_2015,100.0,1,3,23
25190,Hyundai,IONIQ,2018,electric,88.0,14418.0,9.89,Electricity,2.0,0,1,1,2.0,13.5,1,0,,,,Tesla_Model_S_2015,117.0,4,3,4
9422,Volkswagen,Golf,2014,e-Golf,85.0,,2.5,Electricity,2.0,1,0,1,2.0,10.5,0,0,42.0,-2.2,,Tesla_Model_S_2015,24.0,11,1,20
8188,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,130814.0,3.53,Electricity,3.0,1,0,1,3.0,13.47,0,0,,-0.0299999999999993,"Noch 12 Balken, 71km Reichweite, Batterie 13-15°C, 13,7°C, 75,0%, Mainova Ökostrom Novanatur, 2,5h geladen, Ladeende 9,9°C, RRW 97km, Batterie 13-18°C, 15,0°C, 99,0%",Tesla_Model_S_2015,26.2,4,5,22
14872,Kia,Soul,2016,Kia Soul EV,60.0,,12.48,Electricity,3.0,1,0,1,3.0,14.84,1,0,,0.5399999999999991,,Tesla_Model_S_2015,44.0,8,6,9
11289,Volkswagen,Golf,2014,e-Golf,85.0,,3.94,Electricity,3.0,1,1,1,3.0,19.7,0,1,46.0,7.0,,Tesla_Model_S_2015,20.0,9,3,24
28412,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,24880.0,5.0,Electricity,3.0,1,1,1,3.0,11.9,0,0,,-0.5999999999999996,,Tesla_Model_S_2015,42.0,7,3,17
30089,Mercedes-Benz,B-Klasse,2015,B250e,132.0,47982.0,27.52,Electricity,3.0,1,1,1,3.0,18.58,0,0,,1.9799999999999969,,Tesla_Model_S_2015,66.0,9,2,26
24089,Hyundai,IONIQ,2018,electric,88.0,106460.0,16.97,Electricity,3.0,0,1,1,2.0,10.7,1,0,,,,Tesla_Model_S_2015,127.0,9,4,17
31151,Tesla Motors,Model S,2015,Model S85,278.0,80224.0,15.0,Electricity,2.0,1,0,1,3.0,25.31,0,0,,9.209999999999996,,Tesla_Model_S_2015,51.0,2,0,4
31328,Tesla Motors,Model S,2015,Model S85,278.0,56490.0,23.0,Electricity,3.0,1,1,1,3.0,21.77,0,0,,5.669999999999998,,Tesla_Model_S_2015,78.0,5,2,2
5332,Volkswagen,Golf,2015,e-Golf,85.0,80147.0,7.06,Electricity,2.0,0,1,0,3.0,18.1,0,1,52.0,5.400000000000002,,Tesla_Model_S_2015,39.0,12,3,20
25124,Hyundai,IONIQ,2018,electric,88.0,20427.0,6.75,Electricity,3.0,0,1,1,2.0,12.9,1,0,,,,Tesla_Model_S_2015,58.0,5,0,27
8334,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,123028.0,12.26,Electricity,2.0,0,1,1,1.0,16.5,0,0,,3.0,"Noch 1 Balken, 4km Reichweite, Batterie 16-22°C, 19,5°C, 13,0%, 5h geladen, Mainova Ökostrom Novanatur, Ladeende 6,6°C, Batterie 15-22°C, 19,2°C, RRW 107km, 100%",Tesla_Model_S_2015,74.3,12,0,12
2586,Tesla Motors,Model S,2017,75D,315.0,6923.0,1.8,Electricity,2.0,1,1,0,2.0,28.45,0,0,,13.65,Test am Flughafen Cargo City,Tesla_Model_S_2015,133.0,2,5,3
15271,Kia,Soul,2016,Kia Soul EV,60.0,,5.4,Electricity,3.0,0,0,1,3.0,11.86,1,0,,-2.4400000000000013,,Tesla_Model_S_2015,81.0,8,4,30
9770,Volkswagen,Golf,2014,e-Golf,85.0,68939.0,3.3,Electricity,2.0,1,0,0,2.0,17.2,0,0,51.0,4.5,,Tesla_Model_S_2015,19.0,4,4,27
14516,Kia,Soul,2016,Kia Soul EV,60.0,,24.3,Electricity,2.0,1,0,0,3.0,19.95,1,0,,5.649999999999999,,Tesla_Model_S_2015,101.0,12,5,18
31218,Tesla Motors,Model S,2015,Model S85,278.0,72438.0,11.0,Electricity,3.0,0,1,1,3.0,23.13,0,0,,7.029999999999998,,Tesla_Model_S_2015,119.0,10,3,4
24330,Hyundai,IONIQ,2018,electric,88.0,83808.0,6.4,Electricity,2.0,0,1,1,2.0,14.7,1,1,,,,Tesla_Model_S_2015,114.0,1,2,27
522,Volkswagen,Golf,2018,e-Golf,100.0,,10.0,Electricity,1.0,0,1,0,3.0,15.57,1,0,,2.67,,Tesla_Model_S_2015,58.0,12,1,7
797,Volkswagen,Golf,2018,e-Golf,100.0,,14.05,Electricity,1.0,0,1,0,3.0,15.92,1,0,,3.02,,Tesla_Model_S_2015,74.0,4,4,16
9885,Volkswagen,Golf,2014,e-Golf,85.0,,1.7,Electricity,2.0,1,1,1,2.0,8.6,0,0,39.0,-4.1,,Tesla_Model_S_2015,20.0,11,3,16
11745,Volkswagen,Golf,2014,e-Golf,85.0,,2.86,Electricity,2.0,1,1,1,3.0,14.3,1,0,41.0,1.6000000000000014,,Tesla_Model_S_2015,20.0,1,4,23
14039,Mitsubishi,i-MiEV,2011,i-MiEV,49.0,28667.0,11.58,Electricity,3.0,1,0,1,3.0,11.72,0,0,,-1.7799999999999994,"noch 5 Balken, 49 km Reichweite, Mainova Ökostrom Novanatur, 4,25h geladen, Ladeende 15,0°C",Tesla_Model_S_2015,104.5,8,4,31
15050,Kia,Soul,2016,Kia Soul EV,60.0,,13.94,Electricity,2.0,1,1,1,3.0,19.67,1,0,,5.370000000000001,,Tesla_Model_S_2015,82.0,2,1,25
27316,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,83084.0,7.1,Electricity,2.0,1,1,1,1.0,16.51,0,1,,4.010000000000002,,Tesla_Model_S_2015,43.0,11,4,25
14477,Kia,Soul,2016,Kia Soul EV,60.0,,13.68,Electricity,2.0,1,0,0,3.0,22.47,1,0,,8.169999999999998,,Tesla_Model_S_2015,43.0,2,5,26
26666,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,116837.0,5.0,Electricity,3.0,1,1,1,3.0,12.2,0,0,,-0.3000000000000007,,Tesla_Model_S_2015,41.0,6,3,14
27951,Mitsubishi,i-MiEV,2013,i-MiEV,35.0,49075.0,9.1,Electricity,3.0,1,0,1,3.0,13.0,1,0,,0.5,,Tesla_Model_S_2015,70.0,7,6,19
10363,Volkswagen,Golf,2014,e-Golf,85.0,,0.29,Electricity,2.0,1,0,0,2.0,9.8,0,0,29.0,-2.8999999999999986,,Tesla_Model_S_2015,3.0,2,6,26
