,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
31265,278.0,20.0,65394.0,3.0,1,1,1,1.0,20.51,0,0,4.41,92.0,7,4,27
29323,132.0,13.0,101697.0,1.0,1,0,0,1.0,24.85,0,0,8.25,31.0,12,6,19
30740,278.0,33.0,126794.0,2.0,1,0,1,1.0,27.0,0,0,10.9,96.0,11,2,25
30978,278.0,3.0,103075.0,3.0,1,0,1,1.0,20.21,0,0,4.109999999999999,92.0,10,0,14
30924,278.0,13.0,107996.0,2.0,1,0,1,1.0,24.58,0,0,8.479999999999997,36.0,12,2,18
28055,35.0,5.4,42776.0,3.0,1,1,1,1.0,12.86,0,0,0.3599999999999994,42.0,4,4,17
7284,49.0,2.56,174167.0,2.0,1,0,1,1.0,12.81,0,0,-0.6899999999999995,28.9,12,3,6
22855,88.0,7.5,44658.0,3.0,1,0,0,2.0,11.37,0,0,2.306997751726371,66.0,2,1,11
14349,49.0,12.1,1571.0,3.0,1,0,1,1.0,12.4,0,0,-1.0999999999999996,97.6,6,5,11
31264,278.0,32.0,65538.0,3.0,1,0,1,1.0,20.51,0,0,4.41,144.0,7,0,30
26106,35.0,5.3,145331.0,3.0,1,1,1,1.0,12.62,0,0,0.1199999999999992,42.0,9,3,5
6900,80.0,20.09,10553.0,2.0,0,0,1,1.0,17.5,0,0,2.5,166.0,3,3,14
7531,49.0,1.2,163556.0,3.0,1,1,1,1.0,11.27,1,0,-2.2300000000000004,80.2,8,3,2
18738,49.0,6.28,2712.0,3.0,0,1,0,1.0,12.09,0,0,-0.4100000000000001,52.1,9,4,13
18089,49.0,5.85,38419.0,3.0,1,0,1,1.0,12.29,0,0,-0.2100000000000008,47.6,4,2,21
26178,35.0,5.0,141683.0,3.0,1,1,1,1.0,11.9,0,0,-0.5999999999999996,42.0,7,4,5
5147,85.0,18.29,91608.0,3.0,0,0,1,2.0,12.6,0,0,-0.0999999999999996,138.0,5,6,5
25612,35.0,8.7,169028.0,2.0,1,1,1,1.0,16.73,0,1,4.23,52.0,11,0,9
5246,85.0,11.7,84821.0,2.0,0,1,1,2.0,15.9,0,1,3.200000000000001,79.0,3,5,16
8159,49.0,6.59,132448.0,3.0,1,0,1,1.0,12.48,0,0,-1.0199999999999996,52.8,5,2,10
