,power(kW),quantity(kWh),odometer,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,ecr_deviation,trip_distance(km),month,weekday,day
21962,132.0,19.69,43171.0,3.0,1,1,1,2.0,13.8,0,0,-2.8000000000000007,134.0,7,5,7
19347,35.0,17.8,64534.0,2.0,1,0,1,1.0,16.64,0,1,4.140000000000001,107.0,2,6,28
2012,278.0,16.0,110768.0,2.0,0,1,0,1.0,22.47,0,0,6.369999999999997,111.0,1,0,27
9046,49.0,7.7,145680.0,3.0,1,0,1,1.0,12.37,0,1,-1.1300000000000008,57.2,10,1,17
18492,35.0,7.2,130059.0,2.0,1,1,1,1.0,16.74,0,1,4.239999999999998,43.0,1,2,9
6889,85.0,1.67,59957.0,3.0,0,1,0,2.0,12.2,0,0,-0.5,88.0,6,3,21
7042,85.0,12.33,75704.0,3.0,0,1,0,1.0,13.1,0,0,0.4000000000000003,71.0,10,3,11
8015,80.0,11.54,56478.0,2.0,0,0,1,2.0,18.8,0,1,3.8000000000000007,97.0,1,0,18
21012,132.0,14.86,59910.0,1.0,1,1,1,2.0,17.76,0,1,1.16,49.0,3,4,29
23046,278.0,23.0,124975.0,2.0,0,1,1,1.0,22.03,0,0,5.93,188.0,10,6,25
14408,49.0,6.89,9304.0,2.0,0,1,1,1.0,15.43,0,0,2.93,67.4,12,0,2
16814,88.0,16.5,42380.0,3.0,1,1,1,2.0,13.32,0,0,2.3533633947983073,123.9,1,2,8
19522,35.0,13.0,116796.0,3.0,1,1,1,1.0,13.4,1,0,0.9000000000000004,97.0,6,3,14
6463,85.0,19.2,115524.0,3.0,0,1,1,2.0,13.9,0,0,1.200000000000001,104.0,10,1,8
13856,49.0,14.32,69431.0,3.0,1,0,1,1.0,11.11,0,0,-1.3900000000000006,128.9,8,4,19
21016,132.0,4.25,40100.0,3.0,1,1,1,1.0,14.78,0,0,-1.820000000000002,33.0,5,2,30
22957,278.0,21.0,103086.0,3.0,1,0,1,1.0,20.21,0,0,4.109999999999999,11.0,10,0,14
7125,85.0,17.44,46271.0,2.0,0,1,0,2.0,14.0,0,1,1.3000000000000007,47.0,3,2,14
1538,278.0,23.0,50394.0,2.0,1,0,1,1.0,24.11,0,0,8.009999999999998,101.0,2,4,2
