id,y,power(kW),quantity(kWh),odometer,consumption(kWh/100km),ecr_deviation,month,weekday,day,tire_type,city,motor_way,country_roads,driving_style,A/C,park_heating
0,1.4412811387900355,5.897435897435898,5.252873563218391,0.5755431680279636,4.269565217391304,4.898301649950897,0.8333333333333334,-1.0,0.4,2.0,1,1,0,2.0,0,0
1,-0.7473309608540925,0.0,-0.9540229885057471,-0.20374350770618538,-0.32869565217391317,-0.6842671573885555,-0.16666666666666666,-0.3333333333333333,0.9333333333333333,3.0,0,1,0,2.0,0,0
2,0.16370106761565842,0.07692307692307693,0.08620689655172414,-0.9398727263758025,-0.0017391304347825717,0.0,-0.8333333333333334,-0.3333333333333333,-0.8666666666666667,3.0,0,0,0,2.0,0,0
4,1.387900355871886,5.897435897435898,-0.9540229885057471,0.07676586868124512,0.5808695652173913,0.03362275086832556,-0.3333333333333333,0.0,0.4666666666666667,2.0,1,1,0,2.0,0,0
6,0.800711743772242,5.897435897435898,-0.24137931034482757,0.7908935228578073,3.8504347826086955,4.345549356372915,0.16666666666666666,0.6666666666666666,-0.4666666666666667,3.0,1,1,0,2.0,0,0
8,0.4448398576512455,1.205128205128205,-0.5977011494252873,-0.4892141593668736,0.7669565217391304,-0.13380844179222498,-0.5,0.3333333333333333,0.4666666666666667,3.0,1,1,1,2.0,0,0
13,-0.8362989323843416,5.897435897435898,3.0,0.6001240318818315,2.786086956521739,2.941879631602272,1.0,-0.3333333333333333,-0.06666666666666667,2.0,1,1,0,2.0,0,0
14,0.21352313167259784,0.07692307692307693,-0.2655172413793103,-0.7291312835185589,-0.05043478260869581,0.0,-0.16666666666666666,0.3333333333333333,0.06666666666666667,3.0,0,1,1,2.0,1,0
15,-0.23131672597864766,0.0,0.9471264367816095,-0.35448452772746813,-0.06782608695652184,-0.34023046014084884,-0.5,-0.3333333333333333,-0.13333333333333333,2.0,0,1,0,2.0,0,1
16,0.07829181494661931,0.07692307692307693,-0.37126436781609196,-0.8124299677939943,-0.8904347826086958,0.0,0.16666666666666666,-0.3333333333333333,0.6,3.0,0,0,1,2.0,0,0
17,-0.48042704626334515,5.897435897435898,1.0114942528735633,-0.03810456733310312,6.984347826086956,8.478576879308697,-0.8333333333333334,1.0,-0.26666666666666666,2.0,1,1,0,2.0,0,0
22,0.9661921708185053,0.07692307692307693,0.9827586206896554,-0.9117682295153595,0.19826086956521718,0.0,-0.6666666666666666,0.6666666666666666,-0.4,3.0,1,1,1,2.0,0,0
24,-0.7117437722419928,0.0,-0.6206896551724138,-0.23886708151572597,0.7669565217391304,0.7606869710518125,0.5,-0.3333333333333333,-0.6666666666666666,3.0,1,1,1,2.0,0,0
26,2.3843416370106763,5.897435897435898,2.7931034482758625,-0.6342891775135836,1.4086956521739127,1.1253658701343807,0.5,0.6666666666666666,-1.0,3.0,1,1,0,2.0,0,0
34,-0.2437722419928826,-0.9230769230769231,-0.44827586206896547,-0.934544993269861,-0.39304347826086955,-0.9526157812417666,0.3333333333333333,0.6666666666666666,0.26666666666666666,3.0,0,1,1,2.0,0,0
35,2.0818505338078293,5.897435897435898,2.3091954022988506,0.0904798483428354,0.48521739130434766,-0.09252403812250046,-0.16666666666666666,-0.3333333333333333,-0.6666666666666666,3.0,1,1,0,2.0,0,0
36,0.5693950177935942,0.0,0.35402298850574715,-0.29516064242876977,0.14086956521739108,-0.0650011023426837,-0.3333333333333333,0.3333333333333333,-0.2,2.0,0,1,0,2.0,0,1
38,-0.03736654804270465,0.07692307692307693,-0.21264367816091953,-0.3857039161657235,-0.29565217391304366,0.0,-0.6666666666666666,1.0,-0.9333333333333333,3.0,0,0,1,2.0,0,0
39,0.10676156583629892,0.0,0.09655172413793102,-0.06616678059746721,-0.2243478260869567,-0.5466524784894728,0.3333333333333333,1.0,-0.26666666666666666,3.0,0,0,1,2.0,0,0
40,-0.6957295373665481,0.07692307692307693,-0.7862068965517242,-0.35217302447515486,-0.5408695652173915,0.0,-0.16666666666666666,-0.3333333333333333,-0.6666666666666666,3.0,1,0,0,2.0,0,0
41,3.5409252669039146,0.0,2.839080459770115,-0.22708405274173885,-0.2243478260869567,-0.5466524784894728,0.5,1.0,0.06666666666666667,3.0,0,1,0,2.0,0,0
42,0.40925266903914587,1.205128205128205,0.6574712643678162,-0.5857757982790577,0.6243478260869565,-0.3218818362876382,1.0,-0.3333333333333333,-0.2,3.0,1,1,1,2.0,0,0
46,0.0,-0.1282051282051282,1.4275862068965521,0.03952811506775946,0.6052173913043479,0.019861282978417487,-0.3333333333333333,-0.6666666666666666,0.2,2.0,1,0,1,2.0,0,1
47,3.1494661921708182,5.897435897435898,5.195402298850575,-0.7709779491046449,1.4886956521739128,1.2308704572903442,-0.16666666666666666,-0.3333333333333333,-0.4666666666666667,3.0,1,1,0,2.0,0,0
48,0.5871886120996441,0.0,0.8597701149425289,-0.4570081536867772,-0.033043478260869785,-0.29435890050782143,-0.8333333333333334,-0.3333333333333333,0.5333333333333333,2.0,0,1,0,2.0,0,1
49,0.5355871886120995,0.07692307692307693,0.310344827586207,-0.2851112410940176,-0.20695652173913065,0.0,0.6666666666666666,-1.0,0.6666666666666666,3.0,1,1,1,2.0,0,0
50,0.9430604982206405,0.07692307692307693,0.6206896551724139,0.01813261545183546,-0.3634782608695652,0.0,0.5,-0.6666666666666666,0.8666666666666667,3.0,0,1,1,2.0,1,1
60,2.491103202846975,-0.1282051282051282,1.1137931034482762,-0.13621660476818018,0.6973913043478257,0.14142091600593992,0.0,-0.6666666666666666,-1.0,3.0,1,0,1,2.0,0,0
61,0.6049822064056939,0.07692307692307693,0.3218390804597702,-0.5239430862796778,-0.3808695652173915,0.0,0.5,0.6666666666666666,0.8,3.0,0,1,1,2.0,1,1
62,3.1138790035587185,5.897435897435898,6.551724137931035,0.7387296598284695,2.396521739130435,2.428118163712363,-0.16666666666666666,-0.6666666666666666,0.06666666666666667,3.0,1,1,0,2.0,0,0
64,-0.007117437722419903,0.07692307692307693,-0.19540229885057464,-0.9347423167182292,-0.3130434782608697,0.0,-0.8333333333333334,0.0,-0.3333333333333333,3.0,0,0,0,2.0,0,0
67,0.5355871886120995,0.07692307692307693,0.25862068965517243,-0.29889569341573935,-0.29217391304347823,0.0,0.5,-1.0,0.8,3.0,1,1,1,2.0,0,0
68,0.6227758007117438,0.07692307692307693,0.5632183908045978,0.5925834572477607,-0.033043478260869785,0.0,1.0,1.0,-0.7333333333333333,2.0,0,1,1,2.0,1,1
71,1.103202846975089,0.0,-0.42643678160919535,0.23410312969083644,-0.20695652173913065,-0.5237166986729592,-0.3333333333333333,-0.6666666666666666,-0.4666666666666667,2.0,0,0,1,2.0,0,0
77,2.8469750889679712,5.897435897435898,5.7459770114942526,0.30550602893607426,2.857391304347826,3.035916328849978,-0.3333333333333333,0.3333333333333333,-0.9333333333333333,3.0,1,1,0,2.0,0,0
78,-0.12455516014234874,-0.1282051282051282,-0.10689655172413791,0.043953798124017784,0.6052173913043479,0.019861282978417487,-0.3333333333333333,0.0,0.8,2.0,1,0,1,2.0,0,0
79,0.3558718861209964,5.897435897435898,2.5977011494252875,0.724578749674064,4.410434782608696,5.084081466464658,-0.16666666666666666,-1.0,-0.9333333333333333,3.0,1,1,0,2.0,0,0
80,1.0516014234875444,0.07692307692307693,0.6609195402298851,-0.8515845777630568,-0.31999999999999995,0.0,-0.16666666666666666,0.0,0.06666666666666667,3.0,0,0,0,2.0,0,0
82,-0.2846975088967971,-0.1282051282051282,-0.9425287356321839,0.06866151276612238,0.48173913043478256,-0.1429827537188305,0.0,-0.3333333333333333,-0.5333333333333333,3.0,1,0,1,2.0,0,0
84,1.193950177935943,0.07692307692307693,1.1137931034482762,-0.6053671977956152,0.08173913043478241,0.0,-0.3333333333333333,0.0,-0.8,3.0,1,1,1,2.0,0,0
87,-0.7526690391459074,0.07692307692307693,-0.835632183908046,-0.6027174257746707,-0.6069565217391305,0.0,-0.3333333333333333,1.0,-0.6,3.0,1,0,0,2.0,0,0
88,0.9377224199288257,0.07692307692307693,0.5517241379310346,-0.6160649476035772,-0.3408695652173915,0.0,-0.5,0.6666666666666666,0.4666666666666667,3.0,1,1,1,2.0,0,0
90,0.7295373665480427,-0.1282051282051282,0.2632183908045978,-0.2367669962438072,1.354782608695652,1.0083933930701607,0.8333333333333334,-0.6666666666666666,0.5333333333333333,3.0,0,0,1,2.0,0,1
93,-0.10676156583629892,5.897435897435898,0.21839080459770122,-0.23007209353131453,1.9791304347826084,1.8776594481160331,0.16666666666666666,0.0,0.13333333333333333,3.0,1,1,0,2.0,0,0
94,-0.7117437722419928,0.0,-0.8689655172413794,-0.6194758243539419,-1.076521739130435,-1.6705056894986479,0.0,-0.3333333333333333,-0.5333333333333333,3.0,1,1,1,2.0,0,0
97,-0.007117437722419903,0.07692307692307693,-0.2229885057471264,-0.9404787912529334,-0.3826086956521741,0.0,-0.8333333333333334,-0.3333333333333333,-0.8666666666666667,3.0,1,1,1,2.0,1,1
98,1.1085409252669038,0.07692307692307693,0.6540229885057474,-0.5463392976694691,-0.38608695652173924,0.0,0.0,0.0,0.26666666666666666,3.0,1,1,1,2.0,0,0
101,-0.10676156583629892,0.07692307692307693,-0.19885057471264364,0.4137661294300876,-0.15478260869565227,0.0,0.16666666666666666,-1.0,0.6666666666666666,3.0,0,1,1,2.0,1,0
103,0.1779359430604982,1.205128205128205,0.513793103448276,-0.16029006546910127,0.893913043478261,0.03362275086832556,-0.3333333333333333,-1.0,-1.0,1.0,1,0,1,2.0,0,0
105,0.48042704626334515,0.07692307692307693,-0.664367816091954,-0.7961507833036173,-0.32869565217391317,0.0,-0.3333333333333333,1.0,-0.6,2.0,0,1,1,2.0,1,0
111,-0.8540925266903914,0.0,0.28505747126436787,-0.7218444104609617,-0.52,-0.9365607353702069,0.5,0.6666666666666666,-0.9333333333333333,3.0,1,0,1,2.0,0,0
114,-0.3736654804270462,0.0,-0.5022988505747126,-0.5788412885221178,-0.34608695652173915,-0.7072029372050691,0.3333333333333333,1.0,-0.6,3.0,1,1,1,2.0,0,0
116,-0.7117437722419928,0.0,-0.8942528735632184,-0.9349960182947026,-1.2678260869565219,-1.9227992674802994,-0.16666666666666666,0.0,-0.6,3.0,1,1,1,2.0,0,0
117,0.5640569395017794,0.07692307692307693,0.41494252873563237,-0.7298641991839266,-0.07478260869565212,0.0,0.8333333333333334,0.0,-0.5333333333333333,3.0,1,1,1,2.0,0,0
124,1.1085409252669038,0.07692307692307693,0.9057471264367816,-0.4147386521399023,-0.07478260869565212,0.0,1.0,0.3333333333333333,0.26666666666666666,3.0,1,1,1,2.0,0,0
128,1.2455516014234875,0.07692307692307693,-0.30459770114942525,-0.49513386281791977,-0.18956521739130433,0.0,0.6666666666666666,-0.3333333333333333,-0.4666666666666667,3.0,0,1,1,2.0,1,1
