id,y,power(kW),quantity(kWh),odometer,consumption(kWh/100km),ecr_deviation,month,weekday,day,tire_type,city,motor_way,country_roads,driving_style,A/C,park_heating
45,-0.32028469750889677,-1.2820512820512822,-0.4367816091954022,-0.24213701294582768,-0.2660869565217393,-0.5558267904160786,0.6666666666666666,-0.3333333333333333,-0.6,3.0,1,1,1,1.0,0,1
66,-0.32028469750889677,-1.2820512820512822,-0.32183908045977,-0.5455077202799175,0.1478260869565217,-0.009955230783050599,0.8333333333333334,-0.6666666666666666,0.6,2.0,1,1,1,1.0,0,1
74,-0.32028469750889677,-1.2820512820512822,-0.4367816091954022,0.6734719765466987,-0.2660869565217393,-0.5558267904160786,0.16666666666666666,-0.6666666666666666,-0.4,3.0,1,1,1,1.0,0,0
81,-0.30249110320284694,-1.2820512820512822,-0.22988505747126428,0.1512413759082164,0.4086956521739127,0.3340814664646556,0.8333333333333334,-1.0,-0.13333333333333333,2.0,1,1,1,1.0,0,1
110,-0.6049822064056939,-1.2820512820512822,-0.5402298850574713,0.4428854325964242,0.5078260869565214,0.4648154114187842,0.6666666666666666,-1.0,-0.4666666666666667,3.0,1,0,1,1.0,0,0
178,0.13879003558718855,-0.9230769230769231,-0.08735632183908044,0.22673168944108132,-0.3373913043478263,-0.8792212858289228,0.0,1.0,-0.13333333333333333,3.0,1,1,1,1.0,0,0
217,-0.6583629893238434,-0.9230769230769231,-0.5747126436781609,1.0878653126519566,0.22608695652173894,-0.1361020197738765,1.0,0.6666666666666666,0.0,2.0,1,1,1,1.0,0,0
227,-0.30249110320284694,-1.2820512820512822,-0.2873563218390804,0.09617403928146076,0.20695652173913034,0.0680264205930962,0.5,0.6666666666666666,0.06666666666666667,2.0,1,1,1,1.0,0,0
234,-0.32028469750889677,-1.2820512820512822,-0.3908045977011494,-0.716277070310573,-0.10086956521739132,-0.3379368821591975,-0.16666666666666666,0.0,-0.06666666666666667,3.0,1,1,1,1.0,0,0
261,-0.4270462633451957,-1.2820512820512822,-0.14942528735632174,0.837419573076625,1.3130434782608698,1.526742016923372,-0.8333333333333334,1.0,0.26666666666666666,2.0,0,0,1,1.0,0,1
272,-0.32028469750889677,-1.2820512820512822,-0.48275862068965514,0.051973586846982715,-0.4330434782608696,-0.7760102766546106,0.16666666666666666,-0.3333333333333333,0.26666666666666666,2.0,1,1,1,1.0,0,0
284,-0.2846975088967971,-1.2820512820512822,-0.32183908045977,0.6918512463089944,0.027826086956521764,-0.16821211151699553,0.16666666666666666,0.3333333333333333,0.7333333333333333,3.0,0,0,1,1.0,0,0
307,-0.12455516014234874,-1.2820512820512822,-0.18390804597701146,0.5793909752711436,-0.008695652173913167,-0.21637724913167458,-0.3333333333333333,-1.0,-0.4666666666666667,3.0,1,1,1,1.0,0,0
328,-0.5693950177935942,-1.2820512820512822,-0.5287356321839081,-0.5860435943875574,0.35478260869565204,0.2629805490334633,0.6666666666666666,-1.0,-0.2,3.0,1,1,1,1.0,1,0
337,-0.49110320284697506,-0.9230769230769231,-0.8701149425287357,1.5920971958928534,-0.3113043478260871,-0.8448176161041521,-0.16666666666666666,0.3333333333333333,1.0,3.0,1,1,1,1.0,0,0
343,-0.05338078291814946,-1.2820512820512822,0.02298850574712656,-0.016582216928942416,0.36521739130434744,0.2767420169233712,-0.16666666666666666,-0.6666666666666666,0.06666666666666667,2.0,0,0,1,1.0,1,0
